S K T
Phone No: 9150366098


Expense Transactions
Dated: 2023-04-01-2024-03-31


Date,Serial No.,Exp. Name,Pymt Mode,Amt.,Notes
09-11-2023,1972,Transportation & Travel Expense,Cash,250.0,""
09-11-2023,1971,TEA,Cash,360.0,""
09-11-2023,1970,POOJA MATERIAL,Cash,1000.0,""
09-11-2023,1969,LOADMAN CHARGES,Cash,140.0,""
09-11-2023,1968,UKESH SAVINGS,Bank,15000.0,""
09-11-2023,1967,TRAVEL EXPENSE(UKESH),Cash,4900.0,""
08-11-2023,1966,LOADMAN CHARGES,Cash,140.0,mathi
07-11-2023,1965,LOADMAN CHARGES,Cash,140.0,Mathi
06-11-2023,1964,LOADMAN CHARGES,Cash,70.0,""
06-11-2023,1963,WATER CAN,Cash,30.0,""
06-11-2023,1962,TEA,Cash,60.0,""
06-11-2023,1961,Transportation & Travel Expense,Cash,250.0,Kannimara Loory
06-11-2023,1960,Transportation & Travel Expense,Cash,280.0,Kannimara Loory
06-11-2023,1959,Transportation & Travel Expense,Cash,2650.0,North South Roadway
03-11-2023,1958,Employee Salaries & Advances,Cash,11000.0,""
03-11-2023,1957,Raw Material,Cash,100.0,""
03-11-2023,1956,Transportation & Travel Expense,Cash,250.0,""
03-11-2023,1955,LOADMAN CHARGES,Cash,270.0,""
03-11-2023,1954,Transportation & Travel Expense,Cash,9800.0,""
02-11-2023,1953,Transportation & Travel Expense,Cash,600.0,""
02-11-2023,1952,LOADMAN CHARGES,Cash,350.0,""
02-11-2023,1951,TEA,Cash,50.0,""
02-11-2023,1950,Transportation & Travel Expense,Cash,250.0,""
01-11-2023,1949,TEA,Cash,50.0,""
01-11-2023,1948,LOADMAN CHARGES,Cash,140.0,""
01-11-2023,1947,WATER CAN,Cash,30.0,""
31-10-2023,1946,LOADMAN CHARGES,Cash,300.0,""
31-10-2023,1945,Raw Material,Bank,200.0,""
31-10-2023,1944,TEA,Cash,60.0,""
31-10-2023,1943,TRAVEL EXPENSE(UKESH),Cash,3000.0,""
31-10-2023,1942,Raw Material,Cash,800.0,""
31-10-2023,1941,PETROL,Cash,500.0,""
30-10-2023,1940,LOADMAN CHARGES,Cash,300.0,""
30-10-2023,1939,WATER CAN,Cash,30.0,""
30-10-2023,1938,TEA,Cash,50.0,""
28-10-2023,1937,Raw Material,Cash,5400.0,""
28-10-2023,1936,LOADMAN CHARGES,Cash,140.0,""
28-10-2023,1935,TEA,Cash,50.0,""
28-10-2023,1934,Transportation & Travel Expense,Cash,50.0,""
27-10-2023,1933,LOADMAN CHARGES,Cash,70.0,""
27-10-2023,1932,Bank Fee and Charges,Cash,5.0,""
27-10-2023,1931,FOOD,Cash,200.0,""
27-10-2023,1930,POOJA MATERIAL,Cash,50.0,""
27-10-2023,1929,Transportation & Travel Expense,Cash,1700.0,""
27-10-2023,1928,WATER CAN,Cash,30.0,""
27-10-2023,1927,LOADMAN CHARGES,Cash,140.0,""
26-10-2023,1926,TEA,Cash,250.0,""
25-10-2023,1925,LOADMAN CHARGES,Cash,250.0,""
25-10-2023,1924,Transportation & Travel Expense,Cash,16000.0,""
25-10-2023,1923,Transportation & Travel Expense,Cash,550.0,""
25-10-2023,1922,watchmen,Cash,200.0,""
24-10-2023,1921,WATER CAN,Cash,30.0,""
24-10-2023,1920,TEA,Cash,60.0,""
23-10-2023,1919,Employee Salaries & Advances,Cash,1000.0,""
23-10-2023,1918,Raw Material,Cash,250.0,""
21-10-2023,1917,LOADMAN CHARGES,Cash,70.0,""
21-10-2023,1916,TEA,Cash,150.0,""
21-10-2023,1915,AUDITOR,Cash,1500.0,""
20-10-2023,1914,TEA,Cash,40.0,""
20-10-2023,1913,Raw Material,Cash,50.0,""
20-10-2023,1912,EB BILL,Bank,1989.0,""
20-10-2023,1911,recharge,Bank,239.0,""
20-10-2023,1910,WATER CAN,Cash,30.0,""
20-10-2023,1909,Transportation & Travel Expense,Cash,220.0,""
19-10-2023,1908,LOADMAN CHARGES,Cash,70.0,""
19-10-2023,1907,TEA,Cash,20.0,""
19-10-2023,1906,Transportation & Travel Expense,Cash,7350.0,""
18-10-2023,1905,LOADMAN CHARGES,Cash,70.0,""
18-10-2023,1904,TEA,Cash,20.0,""
18-10-2023,1903,Bank Fee and Charges,Bank,20.0,""
18-10-2023,1902,Raw Material,Cash,3000.0,""
18-10-2023,1901,WATER CAN,Cash,30.0,""
18-10-2023,1900,Transportation & Travel Expense,Cash,140.0,""
17-10-2023,1899,LOADMAN CHARGES,Cash,70.0,""
17-10-2023,1898,TEA,Cash,50.0,""
17-10-2023,1897,Transportation & Travel Expense,Cash,280.0,""
16-10-2023,1896,TEA,Cash,50.0,""
16-10-2023,1895,WATER CAN,Cash,30.0,""
16-10-2023,1894,LOADMAN CHARGES,Cash,140.0,""
14-10-2023,1893,FOOD,Cash,60.0,""
14-10-2023,1892,Transportation & Travel Expense,Cash,540.0,""
13-10-2023,1891,Transportation & Travel Expense,Cash,1030.0,""
13-10-2023,1890,Transportation & Travel Expense,Cash,240.0,""
13-10-2023,1889,LOADMAN CHARGES,Cash,170.0,""
13-10-2023,1888,TEA,Cash,40.0,""
13-10-2023,1887,PETROL,Cash,50.0,""
13-10-2023,1886,POOJA MATERIAL,Cash,40.0,""
12-10-2023,1885,LOADMAN CHARGES,Cash,210.0,""
12-10-2023,1884,Transportation & Travel Expense,Cash,1300.0,""
12-10-2023,1883,TEA,Cash,20.0,""
12-10-2023,1882,WATER CAN,Cash,30.0,""
12-10-2023,1881,STICKERS,Cheque,40.0,""
12-10-2023,1880,STICKERS,Cheque,16413.0,""
12-10-2023,1879,Raw Material,Cheque,610.0,""
11-10-2023,1878,FOOD,Cash,500.0,""
10-10-2023,1877,WATER CAN,Cash,30.0,""
10-10-2023,1876,LOADMAN CHARGES,Cash,420.0,""
10-10-2023,1875,LOADMAN CHARGES,Cash,40.0,""
10-10-2023,1874,TEA,Cash,40.0,""
09-10-2023,1873,CASH PURCHASE,Cash,1000.0,comissoin
09-10-2023,1872,Transportation & Travel Expense,Cash,500.0,""
09-10-2023,1871,TEA,Cash,40.0,""
09-10-2023,1870,Printing and Stationery,Cash,4100.0,""
07-10-2023,1869,KIRAN SAVINGS,Bank,15000.0,""
07-10-2023,1868,TEA,Cash,60.0,""
07-10-2023,1867,LOADMAN CHARGES,Cash,200.0,""
07-10-2023,1866,TRAVEL EXPENSE (KIRAN),Cash,2000.0,""
07-10-2023,1865,STICKERS,Cash,10000.0,""
07-10-2023,1864,KIRAN &UKESH SPLIT ,Cash,10000.0,""
07-10-2023,1863,Rent Expense,Bank,15000.0,""
07-10-2023,1862,Bank Fee and Charges,Bank,15.0,""
07-10-2023,1861,TRAVEL EXPENSE(UKESH),Cash,5500.0,""
06-10-2023,1860,LOADMAN CHARGES,Cash,300.0,""
06-10-2023,1859,Raw Material,Cash,500.0,""
06-10-2023,1858,UKESH SAVINGS,Bank,15500.0,""
06-10-2023,1857,TEA,Cash,100.0,""
06-10-2023,1856,POOJA MATERIAL,Cash,60.0,""
06-10-2023,1855,Transportation & Travel Expense,Cash,320.0,""
06-10-2023,1854,Transportation & Travel Expense,Cash,600.0,""
05-10-2023,1853,TEA,Cash,50.0,""
05-10-2023,1852,LOADMAN CHARGES,Cash,210.0,""
05-10-2023,1851,Transportation & Travel Expense,Cash,140.0,""
04-10-2023,1850,LOADMAN CHARGES,Cash,300.0,""
04-10-2023,1849,Transportation & Travel Expense,Cash,220.0,""
04-10-2023,1848,TEA,Cash,100.0,""
04-10-2023,1847,Transportation & Travel Expense,Cash,1000.0,""
04-10-2023,1846,WATER CAN,Cash,60.0,""
03-10-2023,1845,TEA,Cash,20.0,""
03-10-2023,1844,FOOD,Cash,120.0,""
03-10-2023,1843,Raw Material,Cash,40.0,""
02-10-2023,1842,TRAVEL EXPENSE(UKESH),Bank,1335.0,""
02-10-2023,1841,Employee Salaries & Advances,Cash,11500.0,""
02-10-2023,1840,PETROL,Cash,500.0,""
02-10-2023,1839,TEA,Cash,60.0,""
02-10-2023,1838,Transportation & Travel Expense,Cash,270.0,""
02-10-2023,1837,TRAVEL EXPENSE (KIRAN),Bank,1000.0,""
02-10-2023,1836,TRAVEL EXPENSE(UKESH),Bank,2000.0,""
02-10-2023,1835,Transportation & Travel Expense,Cash,500.0,""
30-09-2023,1834,TEA,Cash,60.0,""
30-09-2023,1833,Transportation & Travel Expense,Cash,300.0,""
30-09-2023,1832,LOADMAN CHARGES,Cash,70.0,""
30-09-2023,1831,FOOD,Bank,160.0,""
30-09-2023,1830,WATER CAN,Cash,30.0,""
29-09-2023,1829,Bank Fee and Charges,Bank,15.0,""
29-09-2023,1828,TEA,Cash,50.0,""
29-09-2023,1827,TRAVEL EXPENSE(UKESH),Bank,530.0,""
29-09-2023,1826,FOOD,Bank,160.0,""
29-09-2023,1825,COURIER,Cash,180.0,""
29-09-2023,1824,WATER CAN,Cash,60.0,""
29-09-2023,1823,POOJA MATERIAL,Cash,150.0,""
28-09-2023,1822,FOOD,Bank,160.0,""
28-09-2023,1821,AUDITOR,Cash,1500.0,""
28-09-2023,1820,TEA,Cash,60.0,""
28-09-2023,1819,Transportation & Travel Expense,Cash,2200.0,""
27-09-2023,1818,LOADMAN CHARGES,Cash,350.0,""
27-09-2023,1817,FOOD,Bank,160.0,""
27-09-2023,1816,TEA,Cash,50.0,""
27-09-2023,1815,Transportation & Travel Expense,Cash,40.0,""
27-09-2023,1814,Transportation & Travel Expense,Cash,300.0,""
26-09-2023,1813,TEA,Cash,50.0,""
26-09-2023,1812,Employee Salaries & Advances,Cash,240.0,""
26-09-2023,1811,Bank Fee and Charges,Bank,30.0,""
26-09-2023,1810,LOADMAN CHARGES,Cash,140.0,""
26-09-2023,1809,Transportation & Travel Expense,Cash,1000.0,""
26-09-2023,1808,Transportation & Travel Expense,Cash,4740.0,""
26-09-2023,1807,Raw Material,Cash,200.0,""
26-09-2023,1806,FOOD,Bank,160.0,""
26-09-2023,1805,STICKERS,Cash,10000.0,""
26-09-2023,1804,KIRAN &UKESH SPLIT ,Cash,10000.0,""
26-09-2023,1803,KIRAN SAVINGS,Cash,15000.0,""
26-09-2023,1802,TRAVEL EXPENSE (KIRAN),Bank,400.0,""
25-09-2023,1801,FOOD,Cash,140.0,""
22-09-2023,1800,TEA,Cash,30.0,""
21-09-2023,1799,TEA,Cash,50.0,""
25-09-2023,1798,LOADMAN CHARGES,Cash,450.0,""
23-09-2023,1797,TEA,Cash,50.0,""
21-09-2023,1796,Transportation & Travel Expense,Cash,490.0,""
21-09-2023,1795,FOOD,Cash,120.0,""
20-09-2023,1794,LOADMAN CHARGES,Cash,2000.0,""
20-09-2023,1793,TEA,Cash,150.0,""
20-09-2023,1792,Transportation & Travel Expense,Cash,220.0,""
18-09-2023,1791,FOOD,Cash,200.0,""
16-09-2023,1790,PETROL,Cash,100.0,""
16-09-2023,1789,Raw Material,Cash,500.0,""
16-09-2023,1788,TEA,Cash,60.0,""
16-09-2023,1787,WATER CAN,Cash,30.0,""
16-09-2023,1786,LOADMAN CHARGES,Cash,210.0,""
16-09-2023,1785,FOOD,Bank,100.0,""
15-09-2023,1784,LOADMAN CHARGES,Cash,140.0,""
15-09-2023,1783,TEA,Cash,60.0,""
15-09-2023,1782,POOJA MATERIAL,Cash,350.0,""
14-09-2023,1781,LOADMAN CHARGES,Cash,400.0,""
14-09-2023,1780,TEA,Cash,40.0,""
14-09-2023,1779,Raw Material,Cash,400.0,""
14-09-2023,1778,FOOD,Bank,100.0,""
14-09-2023,1777,Transportation & Travel Expense,Cash,600.0,""
14-09-2023,1776,Raw Material,Cash,100.0,""
14-09-2023,1775,COURIER,Cash,150.0,""
14-09-2023,1774,PETROL,Cash,50.0,""
13-09-2023,1773,TEA,Cash,100.0,""
13-09-2023,1772,LOADMAN CHARGES,Cash,300.0,""
13-09-2023,1771,WATER CAN,Cash,30.0,""
13-09-2023,1770,Raw Material,Cash,200.0,""
13-09-2023,1769,watchmen,Cash,400.0,""
12-09-2023,1768,LOADMAN CHARGES,Cash,140.0,""
12-09-2023,1767,Employee Salaries & Advances,Cash,100.0,""
12-09-2023,1766,WATER CAN,Cash,30.0,""
12-09-2023,1765,TEA,Cash,60.0,""
11-09-2023,1764,Bank Fee and Charges,Bank,15.0,""
11-09-2023,1763,LOADMAN CHARGES,Cash,500.0,""
11-09-2023,1762,Raw Material,Bank,610.0,""
11-09-2023,1761,Rent Expense,Bank,15000.0,""
11-09-2023,1760,TEA,Cash,100.0,""
08-09-2023,1759,TRAVEL EXPENSE (KIRAN),Bank,3370.0,""
08-09-2023,1758,TRAVEL EXPENSE (KIRAN),Bank,690.0,""
06-09-2023,1757,LOADMAN CHARGES,Cash,140.0,""
08-09-2023,1756,TRAVEL EXPENSE(UKESH),Cash,4000.0,""
08-09-2023,1755,WATER CAN,Cash,30.0,""
08-09-2023,1754,LOADMAN CHARGES,Cash,140.0,""
06-09-2023,1753,TEA,Cash,160.0,""
06-09-2023,1752,Transportation & Travel Expense,Cash,310.0,""
05-09-2023,1751,TEA,Cash,60.0,""
04-09-2023,1750,LOADMAN CHARGES,Cash,140.0,""
04-09-2023,1749,TEA,Cash,100.0,""
04-09-2023,1748,Transportation & Travel Expense,Cash,220.0,""
02-09-2023,1747,EB BILL,Bank,2582.0,""
02-09-2023,1746,Transportation & Travel Expense,Cash,220.0,""
02-09-2023,1745,Employee Salaries & Advances,Cash,500.0,""
02-09-2023,1744,Employee Salaries & Advances,Cash,12000.0,""
02-09-2023,1743,TEA,Cash,60.0,""
02-09-2023,1742,Raw Material,Bank,80.0,""
02-09-2023,1741,WATER CAN,Cash,60.0,""
02-09-2023,1740,LOADMAN CHARGES,Cash,270.0,""
02-09-2023,1739,UKESH SAVINGS,Cash,15000.0,""
02-09-2023,1738,TRAVEL EXPENSE (KIRAN),Bank,300.0,""
01-09-2023,1737,TEA,Cash,40.0,""
01-09-2023,1736,TRAVEL EXPENSE(UKESH),Bank,760.0,""
01-09-2023,1735,Transportation & Travel Expense,Cash,550.0,""
01-09-2023,1734,Transportation & Travel Expense,Cash,480.0,""
01-09-2023,1733,POOJA MATERIAL,Cash,60.0,""
31-08-2023,1732,TEA,Cash,30.0,""
31-08-2023,1731,PETROL,Cash,500.0,""
31-08-2023,1730,LOADMAN CHARGES,Cash,140.0,""
31-08-2023,1729,Employee Salaries & Advances,Cash,400.0,""
30-08-2023,1728,Bank Fee and Charges,Bank,20.0,""
30-08-2023,1727,Raw Material,Cash,480.0,""
30-08-2023,1726,TEA,Cash,60.0,""
30-08-2023,1725,LOADMAN CHARGES,Cash,150.0,""
30-08-2023,1724,Raw Material,Cash,550.0,""
30-08-2023,1723,WATER CAN,Cash,30.0,""
30-08-2023,1722,Transportation & Travel Expense,Cash,300.0,""
29-08-2023,1721,AUDITOR,Cash,1500.0,""
29-08-2023,1720,TEA,Cash,60.0,""
28-08-2023,1719,TEA,Cash,20.0,""
28-08-2023,1718,LOADMAN CHARGES,Cash,350.0,""
26-08-2023,1717,TEA,Cash,40.0,""
26-08-2023,1716,WATER CAN,Cash,60.0,""
26-08-2023,1715,TEA,Cash,80.0,""
23-08-2023,1714,Transportation & Travel Expense,Cash,220.0,""
24-08-2023,1713,Transportation & Travel Expense,Cash,260.0,""
23-08-2023,1712,Raw Material,Cash,140.0,""
23-08-2023,1711,TEA,Cash,420.0,""
22-08-2023,1710,FOOD,Cash,300.0,""
22-08-2023,1709,Transportation & Travel Expense,Cash,6320.0,""
22-08-2023,1708,TEA,Cash,40.0,""
22-08-2023,1707,LOADMAN CHARGES,Cash,140.0,""
21-08-2023,1706,LOADMAN CHARGES,Cash,280.0,""
21-08-2023,1705,WATER CAN,Cash,30.0,""
21-08-2023,1704,TEA,Cash,40.0,""
21-08-2023,1703,Transportation & Travel Expense,Cash,260.0,""
21-08-2023,1702,Transportation & Travel Expense,Cash,260.0,""
21-08-2023,1701,Raw Material,Bank,1000.0,""
21-08-2023,1700,Bank Fee and Charges,Bank,30.0,""
19-08-2023,1699,LOADMAN CHARGES,Cash,70.0,""
19-08-2023,1698,TEA,Cash,20.0,""
19-08-2023,1697,Transportation & Travel Expense,Cash,220.0,""
19-08-2023,1696,LOADMAN CHARGES,Cash,140.0,""
19-08-2023,1695,Transportation & Travel Expense,Cash,1150.0,""
18-08-2023,1694,WATER CAN,Cash,30.0,""
18-08-2023,1693,LOADMAN CHARGES,Cash,140.0,""
18-08-2023,1692,TEA,Cash,100.0,""
18-08-2023,1691,POOJA MATERIAL,Cash,50.0,""
17-08-2023,1690,LOADMAN CHARGES,Cash,70.0,""
17-08-2023,1689,TEA,Cash,60.0,""
17-08-2023,1688,Transportation & Travel Expense,Cash,220.0,""
16-08-2023,1687,LOADMAN CHARGES,Cash,140.0,""
16-08-2023,1686,WATER CAN,Cash,30.0,""
16-08-2023,1685,Transportation & Travel Expense,Cash,220.0,""
16-08-2023,1684,WATER CAN,Bank,160.0,""
14-08-2023,1683,LOADMAN CHARGES,Cash,70.0,""
14-08-2023,1682,TEA,Cash,60.0,""
14-08-2023,1681,Raw Material,Cash,1500.0,""
14-08-2023,1680,Transportation & Travel Expense,Cash,250.0,""
14-08-2023,1679,LOADMAN CHARGES,Cash,100.0,""
12-08-2023,1678,TEA,Cash,20.0,""
12-08-2023,1677,LOADMAN CHARGES,Cash,210.0,""
12-08-2023,1676,Transportation & Travel Expense,Cash,1700.0,""
12-08-2023,1675,Raw Material,Cash,1000.0,""
11-08-2023,1674,LOADMAN CHARGES,Cash,210.0,""
11-08-2023,1673,WATER CAN,Cash,30.0,""
11-08-2023,1672,TEA,Cash,50.0,""
11-08-2023,1671,COURIER,Cash,250.0,""
11-08-2023,1670,POOJA MATERIAL,Cash,50.0,""
11-08-2023,1669,Transportation & Travel Expense,Cash,250.0,""
10-08-2023,1668,Raw Material,Bank,240.0,""
10-08-2023,1667,KIRAN &UKESH SPLIT ,Cash,10000.0,""
10-08-2023,1666,LOADMAN CHARGES,Cash,140.0,""
10-08-2023,1665,KIRAN SAVINGS,Cash,15000.0,""
