S K T
Phone No: 9150366098


All Party Balance
Dated: 2019-04-25-2024-11-21
To Pay: 0.0
To Collect: 2226885.43


Name,GST,Address,Mob No.,Bal.,Party Category
"SHUNDA TRADERS , Salem",33CPGPK6445E1Z0,"14/14-2, VEERAPANDIYAR NAGAR, 
NEW BUS STAND.
SALEM-636004","",218699.21,
"SK STORES , VADALUR","",VADALUR,9842049520,6389.1,
"SONA BANGLES , Kallakurichi","",Kallakurichi,9894939106,8040.0,
"SPP BANGLES  , VELLORE","",VELLORE,9443623201,1330.0,
"Sree LAKSHMI FANCY ,  Pattukottai","",PATTUKOTTAI,9751350302,1764.8,
"SREE RAJENDRA TRADING COMPANY , Trichy","","227, BIG BAZZAR, TRICHY- 620008",9443312349,9220.0,
"SRI DHANALAKSHMI FANCY STORE , THIRUT...","",THIRUTHURAIPOONDI,9488109491,75100.0,
"SRI MAHADEV BANGLE STORE , VIRUDACHALAM","",VIRUDACHALAM,9629610565,29360.99,
"SRI MAHALAKSHMI FANCY , MAYAVARAM, MA...","","MAYAVARAM, MAYILADUTHURAI",7010162922,14129.5,
"SRI MURUGAN BANGLE STORE , TINDIVANAM","",TINDIVANAM,9443235052,23787.0,
"SRI RAM ENTERPRISES , Karnataka,",29AEHFS3073E1ZW,"982/1, 3 RD CROSS  K R HOSPITAL ROAD, LASHKARMOHALLA  KUMBARAGERI, Karnataka, pin: 570001",8147563285,23163.0,
"SRI SARASWATHI TOYS , PUDUKOTTAI","",PUDUKOTTAI,9043450200,0.01,
"S. SEKAR TEXTILES , Chennai","","MC ROAD CHENNAI, MANIKANDAN STREET",9025100129,73069.75,
"SUNDHA FANCY STORE , THURAIYUR","",THURAIYUR,9626348262,49954.0,
"THAJ CUTPIECE CENTER, Vilupuram","",VILUPURAM,9994378404,101330.01,
"THAJ CUT PIECE , DINDIGUL","","74/2, AMC ROAD BUS STAND NEAR , 1ST FLOOR, DAS COMPLEX , DINDIGUL SCAN NEAR , DINDIGUL -624003",9080382265,79730.0,
TIRUMALA TEXTILES,"","",9787876646,25050.0,
"USHA NX , Trichy","",TRICHY,"",40475.0,
"YASATH BAI , GOPICHETTIPALAYAM, ERODE","","GOPICHETTIPALAYAM, ERODE",6381067090,40689.8,
