S K T
Phone No: 9150366098


HSN WISE SALES REPORT
Dated: 2023-04-01-2024-03-31


HSN,Item Name,Total Quantity,Unit,Total Value,Taxable Value,IGST,CGST,SGST,CESS,Total Tax Amount
"",IPL 25MM [2KEYS],56.0,BOX,6808.0,6805.63,0.0,0.0,0.0,0.0,0.0
"",ISHA WHITE,13.0,PCS,793.0,769.21,0.0,0.0,0.0,0.0,0.0
"",JASMINE,100.0,PCS,7100.0,6919.38,0.0,0.0,0.0,0.0,0.0
"",JIGNA ROPE,58.0,PAC,4970.0,4969.19,0.0,0.0,0.0,0.0,0.0
"",JIGNA ROPE,-5.0,PAC,-385.0,-385.0,-0.0,-0.0,-0.0,-0.0,-0.0
"",JIO19,6.0,PCS,720.0,717.59,0.0,0.0,0.0,0.0,0.0
"",JONNY SOFEX,95.0,PCS,6360.0,6360.0,0.0,0.0,0.0,0.0,0.0
"",JOY SOFEX,31.0,PCS,2200.0,2200.0,0.0,0.0,0.0,0.0,0.0
"",KANPATTI,2738.0,PCS,419138.0,416438.25,0.0,0.0,0.0,0.0,0.0
"",King 3 Pcs,284.0,PCS,16344.0,16180.89,0.0,0.0,0.0,0.0,0.0
"",Kingfa 10 pcs,200.0,BOX,4400.0,4400.0,0.0,0.0,0.0,0.0,0.0
"",KINGFA IRR,50.0,BOX,4500.0,4500.0,0.0,0.0,0.0,0.0,0.0
"",krishna,339.0,PCS,18080.0,17604.17,0.0,0.0,0.0,0.0,0.0
"",KT 12*18,470.0,PCS,29242.5,29146.85,0.0,8.25,8.25,0.0,16.5
"",KT16*16,164.0,PCS,11628.0,11616.13,0.0,0.0,0.0,0.0,0.0
"",KT16*26,1167.0,PCS,94202.0,94171.11,0.0,0.0,0.0,0.0,0.0
"",KT16*28,46.0,PCS,4590.0,4590.0,0.0,0.0,0.0,0.0,0.0
"",LADDU SCARF,24.0,PCS,11304.0,11302.66,0.0,0.0,0.0,0.0,0.0
"",Ladies 3pcs box,66.0,PCS,3000.0,2991.97,0.0,0.0,0.0,0.0,0.0
"",LOTUS,195.0,PCS,15226.0,15092.7,0.0,0.0,0.0,0.0,0.0
"",LOTUS 2424,232.0,DOZ,30197.0,29935.17,0.0,0.0,0.0,0.0,0.0
"",LUXARY ,34.0,PCS,7752.0,7747.0,0.0,0.0,0.0,0.0,0.0
"",Macho L,735.0,DOZ,54105.0,54105.0,0.0,0.0,0.0,0.0,0.0
"",MEDICAL MASK,75700.0,PCS,54625.0,53701.37,0.0,0.0,0.0,0.0,0.0
"",MEDICAL MASK,-8700.0,PCS,-6525.0,-6525.0,-0.0,-0.0,-0.0,-0.0,-0.0
"",MONKEY CAP,218.0,PCS,16470.0,16256.69,0.0,0.0,0.0,0.0,0.0
"",Monkey cap 180,35.0,PCS,8127.0,7950.36,0.0,0.0,0.0,0.0,0.0
"",Monkey cap 621,45.0,PCS,12744.0,12676.33,0.0,0.0,0.0,0.0,0.0
"",NADA 250Gram,993.0,PCS,41996.0,41545.61,0.0,0.0,0.0,0.0,0.0
"",NADA 300GMS,175.0,PAC,8045.0,8045.0,0.0,0.0,0.0,0.0,0.0
"",no 1,84.0,PCS,3336.0,3336.0,0.0,0.0,0.0,0.0,0.0
"",no 11,120.0,PCS,4920.0,4881.78,0.0,0.0,0.0,0.0,0.0
"",no 2,192.0,PCS,6504.0,6454.23,0.0,0.0,0.0,0.0,0.0
"",no 3,36.0,PCS,1464.0,1464.0,0.0,0.0,0.0,0.0,0.0
"",no 4 ,168.0,PCS,7020.0,6956.01,0.0,0.0,0.0,0.0,0.0
"",no 5,288.0,PCS,9444.0,9359.38,0.0,0.0,0.0,0.0,0.0
"",no 6,48.0,PCS,2112.0,2112.0,0.0,0.0,0.0,0.0,0.0
"",no 7,192.0,PCS,8184.0,8145.78,0.0,0.0,0.0,0.0,0.0
"",no 8,72.0,PCS,3240.0,3197.0,0.0,0.0,0.0,0.0,0.0
"",no 9,156.0,PCS,7104.0,7061.0,0.0,0.0,0.0,0.0,0.0
"",NOORI,429.0,PCS,136500.0,134139.33,0.0,0.0,0.0,0.0,0.0
"",Oscar,934.0,PKT,63694.0,63032.82,0.0,0.0,0.0,0.0,0.0
"",OSCAR 60MM,15.0,PCS,2675.0,2673.34,0.0,0.0,0.0,0.0,0.0
"",PANDA,95.0,PCS,9070.0,8992.19,0.0,0.0,0.0,0.0,0.0
"",PETALS,120.0,PCS,11050.0,11050.0,0.0,0.0,0.0,0.0,0.0
"",POLKADOT,115.0,PCS,10750.0,10724.76,0.0,0.0,0.0,0.0,0.0
"",POLO CAP BABY EMB,283.0,DOZ,39502.0,39201.72,0.0,0.0,0.0,0.0,0.0
"",POLO CAP BIG COMP EMB,386.0,DOZ,72217.0,71851.43,0.0,0.0,0.0,0.0,0.0
"",POLO CAP BIG SIMP EMB,338.0,DOZ,61952.0,61311.32,0.0,0.0,0.0,0.0,0.0
"",POLO CAP COMP BABY 570 NO,68.0,DOZ,10506.0,10216.24,0.0,0.0,0.0,0.0,0.0
"",POLO EMB PATTI 2,188.0,PCS,18960.0,18814.59,0.0,0.0,0.0,0.0,0.0
"",POLO ROUND PATTI 1NO.,238.0,DOZ,21018.0,20935.45,0.0,0.0,0.0,0.0,0.0
"",POWDER PUFF [SADA],12.0,DOZ,300.0,300.0,0.0,0.0,0.0,0.0,0.0
"",POWDER PUFF [VELVET SADA],12.0,DOZ,420.0,420.0,0.0,0.0,0.0,0.0,0.0
"",ROLEX SOFEX,116.0,PCS,9110.0,9087.5,0.0,0.0,0.0,0.0,0.0
"",Rose print 1218,1095.0,PCS,141190.0,140213.53,0.0,251.43,251.43,0.0,502.86
"",ROYAL,464.0,PCS,41405.0,40772.55,0.0,0.0,0.0,0.0,0.0
"",S BLACK,170.0,PCS,13020.0,12997.3,0.0,0.0,0.0,0.0,0.0
"",SCARF 555 NO DORA,168.0,PCS,38334.0,38180.96,0.0,0.0,0.0,0.0,0.0
"",SCARF666 DORA,186.0,PCS,51120.0,50653.36,0.0,0.0,0.0,0.0,0.0
"",SCARF666 PLAIN,2.0,PCS,300.0,300.0,0.0,0.0,0.0,0.0,0.0
"",SIGNATURE,119.0,PCS,11322.0,11291.71,0.0,0.0,0.0,0.0,0.0
"",SKT525,10.0,DOZ,1475.0,1475.0,0.0,0.0,0.0,0.0,0.0
"",SKT725,25.0,DOZ,4625.0,4625.0,0.0,0.0,0.0,0.0,0.0
"",SOFEX,583.0,PCS,60635.0,60239.0,0.0,0.0,0.0,0.0,0.0
"",SONY2020,78.0,PCS,9740.0,9740.0,0.0,0.0,0.0,0.0,0.0
"",Sony DC1818,16.0,PCS,2720.0,2720.0,0.0,0.0,0.0,0.0,0.0
"",Sony DC2020,13.0,PCS,2445.0,2445.0,0.0,0.0,0.0,0.0,0.0
"",SOPHIE SOFEX,75.0,PCS,5760.0,5760.0,0.0,0.0,0.0,0.0,0.0
"",S RED,222.0,PCS,17031.0,17014.87,0.0,0.0,0.0,0.0,0.0
"",SS BLACK,299.0,BOX,21700.0,21546.14,0.0,0.0,0.0,0.0,0.0
"",SS RED,460.0,PCS,33785.0,33622.82,0.0,0.0,0.0,0.0,0.0
"",SYERAA 30MM,100.0,PCS,2000.0,2000.0,0.0,0.0,0.0,0.0,0.0
"",SYERAA 50MM,70.0,PCS,3360.0,3360.0,0.0,0.0,0.0,0.0,0.0
"",SYERAA 65MM,30.0,PCS,2195.0,2195.0,0.0,0.0,0.0,0.0,0.0
"",THIN BLACK,340.0,PCS,24710.0,24643.87,0.0,0.0,0.0,0.0,0.0
"",THIN RED,522.0,BOX,38166.0,38074.1,0.0,0.0,0.0,0.0,0.0
"",TOWEL,5.0,PCS,1080.0,1080.0,0.0,0.0,0.0,0.0,0.0
"",TOWEL1218,660.0,PCS,85940.0,84990.93,0.0,0.0,0.0,0.0,0.0
"",TOWEL1421,280.0,PCS,47960.0,47494.97,0.0,0.0,0.0,0.0,0.0
"",TOWEL1421,-16.0,PCS,-3648.0,-3648.0,-0.0,-0.0,-0.0,-0.0,-0.0
"",TRIPAL BABY CAP,31.0,PCS,7548.0,7431.69,0.0,0.0,0.0,0.0,0.0
"",TULIP,350.0,PCS,26739.0,26602.79,0.0,0.0,0.0,0.0,0.0
"",V BAG,209.0,PCS,1200.0,1200.0,0.0,0.0,0.0,0.0,0.0
"",VENUS 35MM [2 KEYS],145.0,BOX,33584.0,33580.63,0.0,0.0,0.0,0.0,0.0
"",VENUS 50MM [2KEYS],238.0,BOX,41928.0,41903.7,0.0,0.0,0.0,0.0,0.0
"",VENUS 60MM [2 KEYS],54.0,BOX,14958.0,14953.87,0.0,0.0,0.0,0.0,0.0
"",VENUS 70MM,49.0,BOX,28218.0,28182.05,0.0,0.0,0.0,0.0,0.0
"",Venus bag ,12.0,PCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"",VICTOR 65MM,66.0,PCS,11450.0,11360.6,0.0,0.0,0.0,0.0,0.0
"",VILLAN1919,36.0,PCS,6690.0,6690.0,0.0,0.0,0.0,0.0,0.0
"",WIN 65MM LS,12.0,BOX,4680.0,4680.0,0.0,0.0,0.0,0.0,0.0
"",WINNER 30MM,960.0,PCS,21880.0,21856.85,0.0,0.0,0.0,0.0,0.0
"",WINNER 40mm,171.0,PCS,57180.0,56887.36,0.0,0.0,0.0,0.0,0.0
"",WINNER40MM L.S,46.0,PCS,16928.0,16887.42,0.0,0.0,0.0,0.0,0.0
"",WINNER 50MM 10K,5.0,PCS,385.0,385.0,0.0,0.0,0.0,0.0,0.0
"",WINNER 50MM 4 KEYS,40.0,PCS,2320.0,2320.0,0.0,0.0,0.0,0.0,0.0
"",Winner 50MM 6 keys ,75.0,PCS,4500.0,4500.0,0.0,0.0,0.0,0.0,0.0
"",WINNER 50MM 8 K,32.0,PCS,2240.0,2239.18,0.0,0.0,0.0,0.0,0.0
"",WINNER 50MM ANTIC,15.0,PCS,975.0,973.45,0.0,0.0,0.0,0.0,0.0
"",WINNER 50MM L.S,109.0,BOX,28197.0,27954.61,0.0,0.0,0.0,0.0,0.0
"",WINNER 65MM 10K,1.0,PCS,100.0,100.0,0.0,0.0,0.0,0.0,0.0
"",Winner 65MM 4KEYS,40.0,PCS,3800.0,3800.0,0.0,0.0,0.0,0.0,0.0
"",WINNER 65MM 6 K,47.0,PCS,4510.0,4510.0,0.0,0.0,0.0,0.0,0.0
"",WINNER65MM ANTIC,15.0,PCS,1425.0,1422.73,0.0,0.0,0.0,0.0,0.0
"",WINNER 65MM GOLD,30.0,PCS,2850.0,2844.6,0.0,0.0,0.0,0.0,0.0
"",WINNER 65MM LS,32.0,BOX,12480.0,12445.79,0.0,0.0,0.0,0.0,0.0
"",Winner 75MM,20.0,PCS,3350.0,3343.0,0.0,0.0,0.0,0.0,0.0
"",WOOLEN PATTI,75.0,DOZ,10044.0,9635.52,0.0,0.0,0.0,0.0,0.0
"",YELLOW,29.0,PCS,2264.0,2264.0,0.0,0.0,0.0,0.0,0.0
"",zebra,117.0,PCS,6970.0,6744.3,0.0,0.0,0.0,0.0,0.0
3924,HANGER BOX,50.0,PCS,5760.0,5716.8,0.0,0.0,0.0,0.0,0.0
6213,1675 MC,10.0,DOZ,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0
6213,2200,586.0,DOZ,69905.0,69628.05,0.0,0.0,0.0,0.0,0.0
6213,2231,96.0,DOZ,1920.0,1877.24,0.0,0.0,0.0,0.0,0.0
6213,3000 PS,323.0,DOZ,23039.0,22954.99,0.0,0.0,0.0,0.0,0.0
6213,6000 PS,59.0,DOZ,5245.0,5245.0,0.0,0.0,0.0,0.0,0.0
6213,850 DC,25.0,DOZ,2500.0,2500.0,0.0,0.0,0.0,0.0,0.0
6213,9IN1,4165.0,DOZ,56735.0,56519.55,0.0,35.0,35.0,0.0,70.0
6213,ANGEL ARCO,549.0,DOZ,35392.0,35189.06,0.0,0.0,0.0,0.0,0.0
6213,ANGEL ARCO,-10.0,DOZ,-680.0,-680.0,-0.0,-0.0,-0.0,-0.0,-0.0
6213,ANGEL ROLL,360.0,DOZ,23065.0,23059.56,0.0,0.0,0.0,0.0,0.0
6213,BULLET,1387.0,DOZ,126798.0,125053.69,0.0,0.0,0.0,0.0,0.0
6213,COLORS,7.0,DOZ,914.0,914.0,0.0,0.0,0.0,0.0,0.0
6213,DISCOVERY,1214.0,DOZ,146265.0,144515.2,0.0,0.0,0.0,0.0,0.0
6213,GOLD,93.0,DOZ,3276.0,3234.15,0.0,0.0,0.0,0.0,0.0
6213,GOLDEN,973.0,DOZ,44982.0,44441.02,0.0,28.52,28.52,0.0,57.04
6213,HEENA,42.0,DOZ,1198.0,1140.08,0.0,0.0,0.0,0.0,0.0
6213,ISHA,676.0,DOZ,39742.0,39329.27,0.0,0.0,0.0,0.0,0.0
6213,ISHA DC,273.0,DOZ,16102.0,15425.84,0.0,0.0,0.0,0.0,0.0
6213,ISHA DC,-10.0,DOZ,-630.0,-630.0,-0.0,-0.0,-0.0,-0.0,-0.0
6213,JIO 22*22,32.0,DOZ,4300.0,4126.03,0.0,0.0,0.0,0.0,0.0
6213,JUHI,814.0,DOZ,70918.0,69992.77,0.0,0.0,0.0,0.0,0.0
6213,JULIET,784.0,DOZ,65728.0,65303.16,0.0,0.0,0.0,0.0,0.0
6213,KAJAL LC,11.0,DOZ,810.0,792.06,0.0,0.0,0.0,0.0,0.0
6213,LEO,8.0,DOZ,718.0,718.0,0.0,0.0,0.0,0.0,0.0
6213,MACHO,1174.0,DOZ,93676.0,92636.75,0.0,0.0,0.0,0.0,0.0
6213,MONA [FLOWER],829.0,DOZ,39520.0,39060.96,0.0,0.0,0.0,0.0,0.0
6213,MONA [FLOWER],-10.0,DOZ,-500.0,-500.0,-0.0,-0.0,-0.0,-0.0,-0.0
6213,MUDICHI BIG,1975.0,DOZ,129670.0,129242.43,0.0,0.0,0.0,0.0,0.0
6213,MUDICHI SMALL,2101.0,DOZ,137986.0,137403.88,0.0,0.0,0.0,0.0,0.0
6213,PARI [B],874.0,DOZ,29075.0,28778.03,0.0,0.0,0.0,0.0,0.0
6213,PARI [B],-3.0,DOZ,-108.0,-108.0,-0.0,-0.0,-0.0,-0.0,-0.0
6213,PARI FLOWER,3682.0,DOZ,122393.0,121006.97,0.0,0.0,0.0,0.0,0.0
6213,PC MUDICHI,163.0,DOZ,19360.0,19209.25,0.0,0.0,0.0,0.0,0.0
6213,PINK,1602.0,DOZ,83046.0,82343.2,0.0,0.0,0.0,0.0,0.0
6213,PINK,-10.0,DOZ,-600.0,-600.0,-0.0,-0.0,-0.0,-0.0,-0.0
6213,RAJA,6428.0,DOZ,958564.0,952603.91,0.0,92.1,92.1,0.0,184.2
6213,RICH DYE,12.0,DOZ,1200.0,1200.0,0.0,0.0,0.0,0.0,0.0
6213,ROSE LC,256.0,DOZ,29530.0,29366.83,0.0,0.0,0.0,0.0,0.0
6213,ROYAL KING,613.0,DOZ,68940.0,67254.0,0.0,488.1,488.1,0.0,976.2
6213,RUBY ,241.0,DOZ,22898.0,22791.89,0.0,0.0,0.0,0.0,0.0
6213,R WHITE,7163.0,DOZ,548743.0,547600.56,0.0,0.0,0.0,0.0,0.0
6213,SHAKIRA,158.0,DOZ,14762.0,14762.0,0.0,0.0,0.0,0.0,0.0
6213,SONY 22*22,35.0,DOZ,4725.0,4725.0,0.0,0.0,0.0,0.0,0.0
6213,STAR 17*17,1006.0,PCS,83384.0,81865.6,0.0,0.0,0.0,0.0,0.0
6213,STYLE,309.0,DOZ,29498.0,28516.52,0.0,0.0,0.0,0.0,0.0
6213,TAJ,1528.0,DOZ,113126.0,112140.76,0.0,0.0,0.0,0.0,0.0
6213,VELVET,131.0,DOZ,12055.0,12055.0,0.0,0.0,0.0,0.0,0.0
6213,VENUS,187.0,DOZ,25930.0,25930.0,0.0,0.0,0.0,0.0,0.0
6213,VIJAY,677.0,DOZ,75635.0,73686.71,0.0,0.0,0.0,0.0,0.0
6213,VILLIAN,5.0,DOZ,900.0,900.0,0.0,0.0,0.0,0.0,0.0
6213,VILLIAN 1717,30.0,DOZ,4425.0,4425.0,0.0,0.0,0.0,0.0,0.0
6213,WINNER,88.0,DOZ,10610.0,10408.64,0.0,0.0,0.0,0.0,0.0
6213,ZARA,1289.0,DOZ,55461.0,54834.5,0.0,0.0,0.0,0.0,0.0
6302,CARTOON LC,197.0,PAC,9850.0,9850.0,0.0,0.0,0.0,0.0,0.0
6302,CARTOON LC,-197.0,PAC,-9850.0,-9850.0,-0.0,-0.0,-0.0,-0.0,-0.0
6302,EMBOSS,10.0,PAC,1300.0,1300.0,0.0,0.0,0.0,0.0,0.0
6302,FLOWER LC,50.0,PAC,3320.0,3320.0,0.0,0.0,0.0,0.0,0.0
6302,NAVYA BDC,30.0,PAC,2100.0,2043.79,0.0,0.0,0.0,0.0,0.0
6302,NAVYA CARTOON,37.0,PAC,2945.0,2888.79,0.0,0.0,0.0,0.0,0.0
6302,NAVYA ROLEX MIX,1.0,PAC,65.0,65.0,0.0,0.0,0.0,0.0,0.0
6302,ROSE PRINT,3247.0,PAC,353070.0,349097.82,0.0,0.0,0.0,0.0,0.0
6302,STAR MIX,2277.0,PAC,156029.0,154158.11,0.0,0.0,0.0,0.0,0.0
6304,COLORS 1218,76.0,DOZ,10386.0,10386.0,0.0,0.0,0.0,0.0,0.0
6304,COLORS 1421,6.0,DOZ,1296.0,1296.0,0.0,0.0,0.0,0.0,0.0
6304,LAKME 1218,20.0,DOZ,2664.0,2664.0,0.0,0.0,0.0,0.0,0.0
6304,POLO 1218,36.0,DOZ,4824.0,4824.0,0.0,0.0,0.0,0.0,0.0
8301,IPL 35MM,198.0,BOX,40802.0,40326.0,0.0,0.0,0.0,0.0,0.0
8301,IPL 45 MM,87.0,PCS,12480.0,12480.0,0.0,0.0,0.0,0.0,0.0
8301,IPL 50MM,414.0,BOX,62484.0,62128.18,0.0,0.0,0.0,0.0,0.0
8301,IPL 60MM,224.0,BOX,52416.0,49939.82,0.0,0.0,0.0,0.0,0.0
8301,VENUS 25MM,176.0,PCS,23138.0,23101.74,0.0,0.0,0.0,0.0,0.0
8301,VENUS 35MM,636.0,BOX,154462.0,154073.8,0.0,0.0,0.0,0.0,0.0
8301,VENUS 45MM,921.0,BOX,142128.0,141144.78,0.0,0.0,0.0,0.0,0.0
8301,VENUS 45MM [2 KEYS],139.0,BOX,20523.0,20520.85,0.0,0.0,0.0,0.0,0.0
8301,VENUS 45MM LS,13.0,BOX,2292.0,2292.0,0.0,0.0,0.0,0.0,0.0
8301,VENUS 50MM,1185.0,BOX,220113.0,218703.06,0.0,0.0,0.0,0.0,0.0
8301,VENUS 50MM LS,1758.0,BOX,300607.0,299110.07,0.0,0.0,0.0,0.0,0.0
8301,VENUS 60MM,448.0,BOX,132618.0,131883.69,0.0,0.0,0.0,0.0,0.0
8301,WINNER 50 MM,213.0,BOX,51246.0,51175.61,0.0,0.0,0.0,0.0,0.0
8301,WINNER 65 MM,81.0,BOX,29258.0,29237.31,0.0,0.0,0.0,0.0,0.0
