S K T
Phone No: 9150366098


Cash and Bank Statement
Dated: 2023-04-01-2024-03-31


Date,Type,Txn No,Party,Invoice numbers,Mode,Paid,Received,Balance
2024-03-20,Payment-out,577,"JAIPUR TEXTILES , JAIPUR,",673,Online,9000.0,0,-
2024-03-20,Payment-in,1431,"SRI SARASWATHI TOYS , PUDUKOTTAI","SKT001834, SKT001729",Cash,0,13000.0,-
2024-03-20,Payment-out,576,"JAIPUR TEXTILES , JAIPUR,",673,Online,25830.0,0,-
2024-03-20,Payment-out,575,New narasingh hosiery,"560, 558",Online,32130.0,0,-
2024-03-19,Payment-in,1430,"RAMDEV , Ulundurpet","SKT001966, SKT001813",Online,0,30000.0,-
2024-03-19,Expense,2139,"","",Cash,2210.0,0,-
2024-03-19,Payment-in,1429,"LABDHEE ENTERPRISES , Chennai","SKT001984, SKT001957",Cash,0,13985.0,-
2024-03-18,Expense,2138,"","",Cash,7190.0,0,-
2024-03-18,Payment-in,1428,"SHREE RAJAGANAPATHY TEXTILES , Madurai",SKT001885,Online,0,16320.0,-
2024-03-18,Add Money,187,"","",Cash,0,50000.0,-
2024-03-18,Reduce Money,186,"","",Bank,50000.0,0,-
2024-03-18,Payment-in,1426,"SHA HANJARIMAL DEVICHAND , Perambalur","SKT001976, SKT001936, SKT001743, SKT001669",Cash,0,50000.0,-
2024-03-18,Add Money,186,"","",Bank,0,48300.0,-
2024-03-18,Reduce Money,185,"","",Cash,48300.0,0,-
2024-03-18,Add Money,185,"","",Bank,0,48300.0,-
2024-03-18,Reduce Money,184,"","",Bank,48300.0,0,-
2024-03-17,Payment-in,1425,"SHIVA SHAKTI BANGLES , TINDIVANAM","",Cash,0,10000.0,-
2024-03-17,Payment-in,1424,"BALAJI NOVELTY , Tindivanaam","",Cash,0,15000.0,-
2024-03-17,Payment-in,1423,"MAHAVEER BANGLE STORE , THURAIYUR",SKT001504,Cheque,0,12160.0,-
2024-03-17,Payment-in,1422,"KAVERI BANGLES STORE , THIRUVANNAMALAI","SKT001445, SKT001383",Cash,0,13000.0,-
2024-03-17,Payment-in,1421,BISMI CUT PIECE. Thiruvannamalai,"",Cheque,0,5000.0,-
2024-03-17,Payment-in,1420,BISMI CUT PIECE. Thiruvannamalai,"SKT002108, SKT002076",Cash,0,10000.0,-
2024-03-17,Payment-in,1419,"SUNDHA FANCY STORE , THURAIYUR","SKT001910, SKT001808",Cheque,0,10000.0,-
2024-03-17,Payment-in,1418,"SHREE MAHAVEER STORE , TIRUKOVILUR","SKT001941, SKT001810",Cheque,0,18263.41,-
2024-03-16,Payment-in,1417,"JAGDAMBA FANCY STORE , THOLUDUR","",Cash,0,35499.85,-
2024-03-16,Payment-in,1416,"THAJ CUTPIECE CENTER, Vilupuram",SKT001944,Cash,0,16750.0,-
2024-03-16,Payment-in,1415,"AJ TEXTILES , Villupram","SKT001447, SKT001358",Cash,0,28000.0,-
2024-03-16,Payment-in,1414,"SRI POTHYS SILK EMPORIUM , VIRUDHACHALAM,",SKT001356,Cash,0,10000.0,-
2024-03-16,Payment-in,1413,"RAMDEV , Ulundurpet","SKT001966, SKT001918",Cheque,0,11500.0,-
2024-03-16,Payment-in,1412,"SRI MAHADEV BANGLE STORE , VIRUDACHALAM","SKT001494, SKT001303",Cash,0,5000.0,-
2024-03-14,Expense,2137,"","",Cash,1220.0,0,-
2024-03-14,Payment-in,1411,"K RAJ BANGLES STORE , KALLAKURICHI","",Cash,0,7000.0,-
2024-03-14,Payment-in,1410,"RAJA CUT PIECE , KALLAKURICHI","",Cash,0,11000.0,-
2024-03-14,Payment-in,1409,"SONA BANGLES , Kallakurichi","SKT001912, SKT001783, SKT001781",Cash,0,22300.0,-
2024-03-14,Payment-in,1408,"KRISHNA NOVELTY , Attur","SKT001438, SKT001251",Cash,0,8000.0,-
2024-03-14,Payment-in,1407,"SHUNDA TRADERS , Salem","SKT001915, SKT001653",Cheque,0,10000.0,-
2024-03-13,Expense,2136,"","",Cash,590.0,0,-
2024-03-13,Payment-out,574,"SUBH LAKSHMI MARKETING , Chennai",664,Cash,3000.0,0,-
2024-03-13,Payment-out,573,"BANKE BIHARI METAL WORKS ,Aligarh","677, 665, 660, 657, 656",Cash,150000.0,0,-
2024-03-12,Expense,2135,"","",Cash,200.0,0,-
2024-03-12,Expense,2134,"","",Bank,15850.0,0,-
2024-03-11,Expense,2133,"","",Bank,16030.0,0,-
2024-03-11,Expense,2132,"","",Cash,580.0,0,-
2024-03-11,Payment-in,1406,HUSSAIN BAI,"SKT001922, SKT00623",Online,0,5375.0,-
2024-02-23,Expense,2131,"","",Bank,200.0,0,-
2024-02-23,Payment-in,1405,"SHUNDA TRADERS , Salem","SKT001653, SKT001532",Online,0,15000.0,-
2024-02-23,Expense,2130,"","",Cash,18250.0,0,-
2024-02-23,Payment-out,572,"RSC TEXTILES , SOLAPUR-",668,Online,23940.0,0,-
2024-02-22,Expense,2129,"","",Cash,630.0,0,-
2024-02-22,Expense,2128,"","",Bank,450.0,0,-
2024-02-21,Expense,2127,"","",Bank,2278.0,0,-
2024-02-21,Payment-in,1404,"LABDHEE ENTERPRISES , Chennai","SKT001957, SKT001950",Cash,0,4400.0,-
2024-02-21,Expense,2126,"","",Cash,6240.0,0,-
2024-02-20,Expense,2125,"","",Cash,500.0,0,-
2024-02-19,Expense,2124,"","",Cash,2680.0,0,-
2024-02-19,Payment-out,571,"ASHOKAA. , Komarapalayam","670, 630",Online,16200.0,0,-
2024-02-19,Add Money,184,"","",Cash,0,4340.0,-
2024-02-19,Reduce Money,183,"","",Bank,4340.0,0,-
2024-02-19,Payment-in,1403,"RR GIFTS ,  CUDDALORE",SKT001559,Online,0,10000.0,-
2024-02-18,Payment-in,1402,"SUNDHA FANCY STORE , THURAIYUR","SKT001808, SKT001739, SKT001620",Online,0,15000.0,-
2024-02-17,Payment-in,1401,"GUNA READYMADE , VILANKANNI  NAGAPATTINAM",SKT001953,Online,0,10540.0,-
2024-02-17,Payment-in,1400,"SANTHOSH PLASTICS , TINDIVANAM",SKT001483,Online,0,14000.0,-
2024-02-17,Payment-in,1399,"37 CREATIONS, Chennai",SKT001923,Online,0,4340.0,-
2024-02-17,Expense,2123,"","",Cash,900.0,0,-
2024-02-17,Expense,2122,"","",Bank,241.0,0,-
2024-02-16,Payment-in,1398,"SHREE RAJAGANAPATHY TEXTILES , Madurai",SKT001935,Online,0,14065.0,-
2024-02-16,Expense,2121,"","",Bank,1900.0,0,-
2024-02-16,Expense,2120,"","",Cash,6210.0,0,-
2024-02-16,Payment-out,570,"ASHOKAA. , Komarapalayam","661, 654, 630, 544",Cash,32720.0,0,-
2024-02-15,Expense,2119,"","",Cash,50.0,0,-
2024-02-15,Payment-in,1397,"LABDHEE ENTERPRISES , Chennai","SKT001950, SKT001937",Cash,0,10360.0,-
2024-02-15,Payment-in,1396,"JAGDISH AGENCY , Chennai",SKT001933,Cash,0,4230.0,-
2024-02-14,Expense,2118,"","",Cash,6350.0,0,-
2024-02-13,Add Money,183,"","",Bank,0,10460.0,-
2024-02-13,Reduce Money,182,"","",Bank,10460.0,0,-
2024-02-13,Add Money,182,"","",Cash,0,50000.0,-
2024-02-13,Reduce Money,181,"","",Bank,50000.0,0,-
2024-02-13,Expense,2117,"","",Cash,650.0,0,-
2024-02-12,Add Money,181,"","",Bank,0,1000.0,-
2024-02-12,Add Money,180,"","",Bank,0,1000.0,-
2024-02-12,Reduce Money,180,"","",Cash,1000.0,0,-
2024-02-12,Reduce Money,179,"","",Bank,1000.0,0,-
2024-02-12,Payment-in,1395,"VIVEK CAP AGENCY , Chennai",SKT001106,Cash,0,16000.0,-
2024-02-12,Expense,2116,"","",Cash,50.0,0,-
2024-02-12,Payment-out,569,"RAMDEV TRADING COMPANY , AHMEDABAD",663,Cash,13600.0,0,-
2024-02-12,Payment-out,568,"RAMDEV TRADING COMPANY , AHMEDABAD","663, 659, 622",Cash,31740.0,0,-
2024-02-12,Payment-out,567,"RAMDEV TRADING COMPANY , AHMEDABAD",622,Cash,37270.0,0,-
2024-02-12,Payment-out,566,"SHYAM TEXTILES , PALLIPALAYAM, ERODE","655, 652, 635, 624, 610, 603, 486",Cash,200000.0,0,-
2024-02-10,Payment-in,1394,"GUNA READYMADE , VILANKANNI  NAGAPATTINAM",SKT001919,Online,0,10460.0,-
2024-02-10,Payment-out,565,KIRAN LONE BOI,"",Cash,8000.0,0,-
2024-02-10,Expense,2115,"","",Cash,37000.0,0,-
2024-02-10,Reduce Money,178,"","",Bank,12130.0,0,-
2024-02-10,Add Money,179,"","",Bank,0,12130.0,-
2024-02-10,Payment-out,564,"R S TEXTILES , AMBEDKAR NAGAR U.P","495, 481",Online,13600.0,0,-
2024-02-10,Payment-in,1393,"LABDHEE ENTERPRISES , Chennai","SKT001937, SKT001914",Cash,0,5460.0,-
2024-02-09,Expense,2114,"","",Cash,1130.0,0,-
2024-02-09,Expense,2113,"","",Bank,6750.0,0,-
2024-02-09,Payment-out,563,"SUBH LAKSHMI MARKETING , Chennai","658, 627",Cash,4940.0,0,-
2024-02-09,Add Money,178,"","",Bank,0,4150.0,-
2024-02-09,Reduce Money,177,"","",Cash,4150.0,0,-
2024-02-09,Payment-out,562,"NANAK TRADERS(KUNAL),  AHMEDABAD","628, 333",Online,29383.0,0,-
2024-02-09,Payment-out,561,"K.L.M TEXTILES , Erode",502,Online,28000.0,0,-
2024-02-09,Payment-out,560,"DEEPA TRADERS , Komarapalayam","651, 596, 591, 585",Online,35770.0,0,-
2024-02-09,Reduce Money,176,"","",Bank,30.0,0,-
2024-02-09,Payment-out,559,UKESH LOAN BOI,"",Online,2000.0,0,-
2024-02-09,Payment-out,558,UKESH LOAN BOI,"",Online,9000.0,0,-
2024-02-09,Payment-in,1392,SARASWATI BANGLES STORE ARANTHAGI,SKT001763,Online,0,9030.0,-
2024-02-08,Expense,2112,"","",Bank,15000.0,0,-
2024-02-08,Expense,2111,"","",Cash,4800.0,0,-
2024-02-08,Expense,2110,"","",Bank,15060.0,0,-
2024-02-08,Payment-out,557,"JAIPUR TEXTILES , JAIPUR,","548, 401",Online,25830.0,0,-
2024-02-08,Payment-out,556,"JAIPUR TEXTILES , JAIPUR,","548, 538",Online,25326.0,0,-
2024-02-08,Payment-out,555,"RAMDEV TRADING COMPANY , AHMEDABAD",622,Online,5040.0,0,-
2024-02-08,Payment-out,554,"RAMDEV TRADING COMPANY , AHMEDABAD",622,Cheque,13230.0,0,-
2024-02-08,Payment-out,553,"RAMDEV TRADING COMPANY , AHMEDABAD",622,Online,10710.0,0,-
2024-02-08,Payment-out,552,"R S TEXTILES , AMBEDKAR NAGAR U.P","481, 472",Online,14200.0,0,-
2024-02-07,Payment-in,1391,"THAJ CUTPIECE CENTER, Vilupuram","SKT001736, SKT001389",Cash,0,11000.0,-
2024-02-07,Expense,2109,"","",Cash,100.0,0,-
2024-02-07,Payment-in,1390,"THAJ CUTPIECE CENTER, Vilupuram",SKT001389,Cash,0,3860.0,-
2024-02-07,Payment-in,1389,"THAJ CUTPIECE CENTER, Vilupuram","SKT001680, SKT001389",Cheque,0,25000.0,-
2024-02-07,Payment-in,1388,"THAJ CUTPIECE CENTER, Vilupuram","SKT001916, SKT001389",Cheque,0,30000.0,-
2024-02-07,Payment-in,1387,"AJ TEXTILES , Villupram",SKT001878,Cash,0,20000.0,-
2024-02-07,Expense,2108,"","",Cash,70.0,0,-
2024-02-07,Payment-in,1386,"AMBIKA FANCY STORE, Chidambaram","SKT001803, SKT001700",Cash,0,10000.0,-
2024-02-07,Payment-in,1385,"NEW BALU VALAYAL MANDI ,  MAYILADUTHURAI","SKT001891, SKT001797",Cash,0,5000.0,-
2024-02-07,Payment-in,1384,"BALAJI BANGLE STORE, Virudachalam",SKT001771,Cash,0,7300.0,-
2024-02-07,Payment-in,1383,"SRI MAHADEV BANGLE STORE , VIRUDACHALAM",SKT001869,Cash,0,5000.0,-
2024-02-07,Payment-in,1382,HANEEFA TEXTILES,"SKT001737, SKT001629",Cash,0,15980.0,-
2024-02-07,Payment-in,1381,"OM SRI RAJESHWAR FANCY , NAGAPATTINAM",SKT001836,Cash,0,9600.04,-
2024-02-07,Payment-in,1380,"RAJASTHAN TRADING , MAYAVARAM, MAYILADUTHURAI","SKT001701, SKT001571",Cash,0,5000.0,-
2024-02-07,Payment-in,1379,RAJARAM BANGLES. JAYANKONDAM,"SKT001722, SKT001671",Cash,0,30000.0,-
2024-02-07,Payment-in,1378,TAMILNADU GENERAL STORE,SKT001784,Cash,0,6300.0,-
2024-02-07,Payment-in,1377,TAMILNADU GENERAL STORE,SKT001784,Cheque,0,5700.0,-
2024-02-07,Payment-in,1376,"RAMDEV NOVELTY , THANJAVUR,",SKT001849,Cash,0,19000.0,-
2024-02-07,Payment-in,1375,"RAVI FANCY , PERAMBALUR,",SKT001749,Cash,0,19999.99,-
2024-02-06,Expense,2107,"","",Cash,140.0,0,-
2024-02-06,Expense,2106,"","",Cash,30.0,0,-
2024-02-06,Expense,2105,"","",Cash,160.0,0,-
2024-02-06,Expense,2104,"","",Cash,30.0,0,-
2024-02-06,Payment-in,1374,"SHIVA SHAKTI BANGLES , TINDIVANAM",SKT001617,Cheque,0,2000.0,-
2024-02-06,Payment-in,1373,"SHIVA SHAKTI BANGLES , TINDIVANAM","SKT001617, SKT001562",Cash,0,8000.0,-
2024-02-06,Payment-in,1372,"SRI MURUGAN BANGLE STORE , TINDIVANAM","SKT001535, SKT001349",Cash,0,10000.0,-
2024-02-06,Payment-in,1371,"BALAJI NOVELTY , Tindivanaam","SKT001475, SKT001413",Cash,0,15000.0,-
2024-02-06,Payment-in,1370,"BISMI CUT PIECE, THANJAUR","SKT001751, SKT001742",Cash,0,21460.0,-
2024-02-06,Payment-in,1369,"RANUJA FANCY STORE , MANNARGUDI",SKT001778,Cash,0,7500.0,-
2024-02-06,Payment-in,1368,TIRUMALA TEXTILES,"",Cash,0,19800.0,-
2024-02-06,Payment-in,1367,"MAHALAKSHMI FANCY STORE , MANNARGUDI",SKT001833,Cash,0,13600.0,-
2024-02-06,Payment-in,1366,"KAVERI BANGLES STORE , THIRUVANNAMALAI","SKT001383, SKT001254",Cash,0,10000.0,-
2024-02-06,Payment-in,1365,"SHREE MAHAVEER STORE , TIRUKOVILUR","SKT001810, SKT001501",Cash,0,17600.0,-
2024-02-05,Payment-in,1364,"SRI RAM ENTERPRISES , Karnataka,","",Cheque,0,11751.0,-
2024-02-05,Payment-in,1363,"MAHALAKSHMI NOVELTY , ULUNDURPET","SKT001628, SKT001167",Cash,0,5000.0,-
2024-02-05,Expense,2103,"","",Cash,140.0,0,-
2024-02-05,Payment-in,1362,"SRI DHANALAKSHMI FANCY STORE , THIRUTHURAIPOONDI","SKT001865, SKT001733",Cash,0,25000.0,-
2024-02-05,Payment-in,1361,"JAI BHAVANI , Thiruthuraipoondi",SKT001540,Cash,0,5730.0,-
2024-02-05,Expense,2102,"","",Cash,290.0,0,-
2024-02-05,Expense,2101,"","",Cash,20.0,0,-
2024-02-05,Payment-in,1360,"RAJA CUT PIECE , KALLAKURICHI",SKT001868,Cheque,0,2000.0,-
2024-02-05,Payment-in,1359,"RAJA CUT PIECE , KALLAKURICHI",SKT001868,Cash,0,10000.0,-
2024-02-05,Payment-in,1358,"SONA BANGLES , Kallakurichi","SKT002174, SKT002096, SKT002006",Cash,0,22300.0,-
2024-02-05,Payment-in,1357,"BISMI CUT PIECE, PATTUKOTTAI","SKT001773, SKT001720",Cash,0,30000.0,-
2024-02-05,Payment-in,1356,"K RAJ BANGLES STORE , KALLAKURICHI","",Cash,0,20000.0,-
2024-02-05,Payment-in,1355,"ANANTHAM TEXTILES, Pattukottai",SKT001721,Cash,0,15000.0,-
2024-02-05,Payment-in,1354,"KRISHNA NOVELTY , Attur",SKT001251,Cheque,0,10000.0,-
2024-02-05,Payment-in,1353,"SRI SARASWATHI TOYS , PUDUKOTTAI",SKT001729,Cash,0,10000.0,-
2024-02-05,Payment-in,1352,"37 CREATIONS, Chennai","SKT001870, SKT001814, SKT001614",Cheque,0,10550.0,-
2024-02-03,Payment-in,1351,"DIAMOND FANCY STORE , VANDAVASI","SKT001840, SKT001821, SKT001815, SKT001704, SKT001670",Cash,0,10000.0,-
2024-02-03,Expense,2100,"","",Cash,11440.0,0,-
2024-02-03,Payment-in,1350,HUSSAIN BAI,SKT00623,Cash,0,800.0,-
2024-02-03,Payment-in,1349,HUSSAIN BAI,SKT00623,Online,0,2425.0,-
2024-02-02,Payment-in,1348,"PRAKASH FANCY , ,CUDDALORE","SKT001573, SKT001457, SKT001384, SKT001307",Online,0,50000.0,-
2024-02-02,Expense,2099,"","",Cash,660.0,0,-
2024-02-02,Expense,2098,"","",Bank,900.0,0,-
2024-02-01,Expense,2097,"","",Cash,1750.0,0,-
2024-02-01,Payment-out,551,"BANKE BIHARI METAL WORKS ,Aligarh","594, 567, 556, 553",Cash,122500.0,0,-
2024-02-01,Payment-in,1347,"ASHAPURA FANCY STORE ,Cuddalore",SKT001863,Cash,0,9300.0,-
2024-01-31,Expense,2096,"","",Cash,2600.0,0,-
2024-01-31,Payment-in,1346,CASH SALES,SKT001917,Online,0,1320.0,-
2024-01-31,Payment-in,1345,"BALAJI CAP HOUSE, Chennai",SKT001529,Online,0,10000.0,-
2024-01-30,Expense,2095,"","",Cash,1880.0,0,-
2024-01-30,Reduce Money,175,"","",Bank,20000.0,0,-
2024-01-30,Add Money,177,"","",Cash,0,20000.0,-
2024-01-30,Payment-in,1344,"LABDHEE ENTERPRISES , Chennai",SKT001914,Cash,0,3450.0,-
2024-01-30,Payment-in,1343,"SHUNDA TRADERS , Salem","SKT001532, SKT001506",Online,0,12000.0,-
2024-01-26,Add Money,176,"","",Bank,0,20380.0,-
2024-01-26,Reduce Money,174,"","",Bank,20380.0,0,-
2024-01-26,Add Money,175,"","",Bank,0,44000.0,-
2024-01-26,Reduce Money,173,"","",Bank,44000.0,0,-
2024-01-26,Add Money,174,"","",Cash,0,25000.0,-
2024-01-26,Reduce Money,172,"","",Bank,25000.0,0,-
2024-01-26,Expense,2094,"","",Cash,460.0,0,-
2024-01-25,Expense,2093,"","",Cash,3260.0,0,-
2024-01-25,Payment-in,1342,CASH SALES,SKT001792,Cash,0,500.0,-
2024-01-24,Payment-in,1341,"THAJ CUTPIECE CENTER, Vilupuram",SKT001613,Cheque,0,12800.0,-
2024-01-24,Payment-in,1340,"THAJ CUTPIECE CENTER, Vilupuram","SKT001858, SKT001857, SKT001389",Online,0,47680.0,-
2024-01-24,Expense,2092,"","",Cash,1750.0,0,-
2024-01-24,Payment-in,1339,"DIAMOND BANGLE STORE , MADURANTHAGAM","SKT001837, SKT001805, SKT001765, SKT001738",Online,0,20000.0,-
2024-01-23,Payment-in,1338,"SANTHOSH PLASTICS , TINDIVANAM","SKT001483, SKT001354",Online,0,15000.0,-
2024-01-23,Payment-in,1337,"HITHALI BANGLE STORE , CUDDALORE",SKT001864,Cash,0,10355.0,-
2024-01-23,Expense,2091,"","",Cash,4550.0,0,-
2024-01-23,Payment-in,1336,"SRI RAM ENTERPRISES , Karnataka,","SKT001650, SKT001605",Online,0,8900.0,-
2024-01-23,Payment-in,1335,"S. SEKAR TEXTILES , Chennai","SKT001647, SKT001536",Online,0,17205.0,-
2024-01-22,Expense,2090,"","",Bank,20.0,0,-
2024-01-22,Expense,2089,"","",Cash,160.0,0,-
2024-01-22,Payment-in,1334,"VIVEK CAP AGENCY , Chennai",SKT001107,Cash,0,13600.0,-
2024-01-22,Payment-out,550,"SARASWATHI ENTERPRISES , SALEM",584,Cash,38590.0,0,-
2024-01-20,Payment-in,1333,"SHREE RAJAGANAPATHY TEXTILES , Madurai",SKT001846,Online,0,15520.0,-
2024-01-20,Expense,2088,"","",Bank,350.0,0,-
2024-01-20,Expense,2087,"","",Cash,130.0,0,-
2024-01-20,Payment-in,1332,"NFS , UTHUKOTTAI","SKT001884, SKT00777",Online,0,4832.0,-
2024-01-20,Payment-in,1331,HUSSAIN BAI,SKT00623,Online,0,2700.0,-
2024-01-19,Expense,2086,"","",Cash,2600.0,0,-
2024-01-19,Expense,2085,"","",Bank,240.0,0,-
2024-01-19,Expense,2084,"","",Cash,1760.0,0,-
2024-01-18,Expense,2083,"","",Bank,15.0,0,-
2024-01-18,Expense,2082,"","",Cash,4050.0,0,-
2024-01-18,Payment-out,549,New narasingh hosiery,558,Online,40754.0,0,-
2024-01-15,Add Money,173,"","",Online,0,21600.0,-
2024-01-15,Reduce Money,171,"","",Online,21600.0,0,-
2024-01-14,Payment-in,1330,"37 CREATIONS, Chennai","SKT001838, SKT001614",Cheque,0,6600.0,-
2024-01-13,Payment-in,1329,"THAJ CUT PIECE , DINDIGUL",SKT001842,Online,0,15000.0,-
2024-01-13,Expense,2081,"","",Cash,790.0,0,-
2024-01-12,Payment-out,548,omega hankies,"",Cash,24565.0,0,-
2024-01-12,Expense,2080,"","",Bank,7030.0,0,-
2024-01-12,Expense,2079,"","",Cash,1550.0,0,-
2024-01-11,Add Money,172,"","",Bank,0,21400.0,-
2024-01-11,Reduce Money,170,"","",Bank,21400.0,0,-
2024-01-11,Payment-out,547,omega hankies,"",Online,25793.0,0,-
2024-01-11,Payment-out,546,"JAIPUR TEXTILES , JAIPUR,",538,Online,12915.0,0,-
2024-01-11,Payment-out,545,"JAIPUR TEXTILES , JAIPUR,","538, 494",Online,28350.0,0,-
2024-01-11,Expense,2078,"","",Cash,760.0,0,-
2024-01-11,Payment-in,1328,"LABDHEE ENTERPRISES , Chennai",SKT001844,Cash,0,5530.0,-
2024-01-10,Payment-in,1327,LALITHJI OSWAL,SKT001747,Cash,0,7320.0,-
2024-01-10,Expense,2077,"","",Cash,880.0,0,-
2024-01-10,Payment-in,1326,"BALAJI HOSIERY, Mysore",SKT001425,Online,0,25000.0,-
2024-01-10,Payment-out,544,"EKTA FABRICS(KRISHNA) , AHMEDABAD","617, 593, 554",Cash,55000.0,0,-
2024-01-10,Payment-in,1325,"NFS , UTHUKOTTAI",SKT001873,Cheque,0,4625.0,-
2024-01-09,Expense,2076,"","",Bank,15000.0,0,-
2024-01-09,Expense,2075,"","",Bank,200.0,0,-
2024-01-09,Payment-out,543,UKESH LOAN BOI,"",Cash,11000.0,0,-
2024-01-09,Payment-out,542,KIRAN LONE BOI,"",Cash,8000.0,0,-
2024-01-09,Expense,2074,"","",Cash,21400.0,0,-
