S K T
Phone No: 9150366098


Purchase Summary Report
Dated: 2023-04-01-2024-03-31
Total Purchase: 8399332.66


Purchase No,Original Invoice No,Purchase Date,Party Name,Purchase Amount,Purchase link,Notes
484,"",03-07-2023,"SHYAM TEXTILES , PALLIPALAYAM, ERODE",34250.0,https://mybillbook.in/i/167vfv3,""
485,"",04-07-2023,"STAR &CO , METUPALAYAM, Coimbatore,",6000.0,https://mybillbook.in/i/16g7k4i,""
486,"",04-07-2023,"SHYAM TEXTILES , PALLIPALAYAM, ERODE",69765.0,https://mybillbook.in/i/12yhxpe,""
487,"",05-07-2023,"EKTA FABRICS(KRISHNA) , AHMEDABAD",38191.0,https://mybillbook.in/i/s5oea7,""
488,"",05-07-2023,"RAMDEV TRADING COMPANY , AHMEDABAD",28160.0,https://mybillbook.in/i/yzfx1e,"CASH-20600
BANK-7560"
489,"",08-07-2023,"ASHOKAA. , Komarapalayam",11664.0,https://mybillbook.in/i/161bacw,""
490,"",08-07-2023,"SRI VARI TRADERS , KOMARAPALAYAM, ERODE",16800.0,https://mybillbook.in/i/ucmysi,""
491,"",11-07-2023,"JAIPUR TEXTILES , JAIPUR,",49145.0,https://mybillbook.in/i/w4yyev,"bank-25673
cash-23472"
492,"",12-07-2023,"SHYAM TEXTILES , PALLIPALAYAM, ERODE",24200.0,https://mybillbook.in/i/12n40ks,""
493,"",12-07-2023,"RAMDEV TRADING COMPANY , AHMEDABAD",20145.0,https://mybillbook.in/i/vwt2q0,"CASH--16680
BANK-3465"
494,"",14-07-2023,"JAIPUR TEXTILES , JAIPUR,",49446.0,https://mybillbook.in/i/168egab,"cash-23616
bank-25830"
495,"",19-07-2023,"R S TEXTILES , AMBEDKAR NAGAR U.P",13940.0,https://mybillbook.in/i/tzga32,"CASH-6800
BANK-7140"
496,"",27-07-2023,"BANKE BIHARI METAL WORKS ,Aligarh",37093.0,https://mybillbook.in/i/uccc1d,"CASH AMOUNT - 23229
BILL AMOUNT - 13863"
497,"",27-07-2023,"HIRA MOTI MILLS , AHMEDABAD",33429.0,https://mybillbook.in/i/1893708,""
498,"",27-07-2023,"RAMDEV TRADING COMPANY , AHMEDABAD",31980.0,https://mybillbook.in/i/105drou,"CASH- 15600
BILL AMOUNT - 16380"
499,"",27-07-2023,"BANKE BIHARI METAL WORKS ,Aligarh",18000.0,https://mybillbook.in/i/182gv6w,HAVE TO LESS LORRY CHARGES 
500,"",28-07-2023,"SHYAM TEXTILES , PALLIPALAYAM, ERODE",22725.0,https://mybillbook.in/i/17bprac,""
501,"",29-07-2023,"NANAK TRADERS(KUNAL),  AHMEDABAD",33818.0,https://mybillbook.in/i/10w091b,""
502,"",31-07-2023,"K.L.M TEXTILES , Erode",34691.0,https://mybillbook.in/i/xpzb97,"cash-1285
bank-33406"
503,"",31-07-2023,"BANKE BIHARI METAL WORKS ,Aligarh",27831.0,https://mybillbook.in/i/163lyms,""
504,"",31-07-2023,"BANKE BIHARI METAL WORKS ,Aligarh",21746.0,https://mybillbook.in/i/tdxhx0,""
505,"",09-08-2023,"SHYAM TEXTILES , PALLIPALAYAM, ERODE",34250.0,https://mybillbook.in/i/11d93e3,""
506,"",11-08-2023,"ANUSRI TEX ,KOMARAPALAYAM",25600.0,https://mybillbook.in/i/10vvitd,""
507,"",14-08-2023,"RAMDEV TRADING COMPANY , AHMEDABAD",58382.0,https://mybillbook.in/i/16edzme,"CASH-43640
BANK-14742"
508,"",16-08-2023,"SUMEET TEXILES , KARUR",16236.0,https://mybillbook.in/i/z1xeek,"cash-7920
bill-8316"
509,"",18-08-2023,"SHYAM TEXTILES , PALLIPALAYAM, ERODE",25800.0,https://mybillbook.in/i/wi9x93,""
510,"",18-08-2023,"SHYAM TEXTILES , PALLIPALAYAM, ERODE",41100.0,https://mybillbook.in/i/vvsj2p,""
511,"",19-08-2023,"BANKE BIHARI METAL WORKS ,Aligarh",35240.0,https://mybillbook.in/i/17ja30g,""
512,"",19-08-2023,"BANKE BIHARI METAL WORKS ,Aligarh",37490.0,https://mybillbook.in/i/z76gjo,""
513,"",19-08-2023,"BANKE BIHARI METAL WORKS ,Aligarh",24412.0,https://mybillbook.in/i/11nyc1j,""
514,"",19-08-2023,"SHYAM TEXTILES , PALLIPALAYAM, ERODE",21000.0,https://mybillbook.in/i/11a9g2j,""
515,"",21-08-2023,VAISHNAVI ENTERPRISES,13109.0,https://mybillbook.in/i/13g68dd,""
516,"",23-08-2023,"EKTA FABRICS(KRISHNA) , AHMEDABAD",46781.0,https://mybillbook.in/i/uka22x,"CASH-22820
BANK-23961"
517,"",23-08-2023,"SHYAM TEXTILES , PALLIPALAYAM, ERODE",26150.0,https://mybillbook.in/i/tap1jf,""
518,"",24-08-2023,"DEEPA TRADERS , Komarapalayam",7600.0,https://mybillbook.in/i/xfxf7q,""
519,"",30-08-2023,"ASHOKAA. , Komarapalayam",13025.0,https://mybillbook.in/i/14wh8l0,""
520,"",31-08-2023,"SUMEET TEXILES , KARUR",16236.0,https://mybillbook.in/i/x1pv8h,"cash-7920
bank-8316"
521,"",01-09-2023,"K.L.M TEXTILES , Erode",29899.0,https://mybillbook.in/i/wb5rmk,""
522,"",02-09-2023,"ASHOKAA. , Komarapalayam",9720.0,https://mybillbook.in/i/10vbdz6,""
523,"",04-09-2023,"SHYAM TEXTILES , PALLIPALAYAM, ERODE",34250.0,https://mybillbook.in/i/xegp98,
524,"",08-09-2023,VAISHNAVI ENTERPRISES,14860.0,https://mybillbook.in/i/z7eprz,""
525,"",08-09-2023,"VIVEK CAP AGENCY , Chennai",12600.0,https://mybillbook.in/i/uiqe01,""
526,"",14-09-2023,"BANKE BIHARI METAL WORKS ,Aligarh",12319.0,https://mybillbook.in/i/sdfkgl,""
527,"",20-09-2023,"EKTA FABRICS(KRISHNA) , AHMEDABAD",25514.0,https://mybillbook.in/i/130k2zd,"cash-12446
bank-13068"
528,"",20-09-2023,"SHYAM TEXTILES , PALLIPALAYAM, ERODE",34250.0,https://mybillbook.in/i/13xes0q,""
529,"",21-09-2023,"SHYAM TEXTILES , PALLIPALAYAM, ERODE",20700.0,https://mybillbook.in/i/t3x9nr,""
530,"",22-09-2023,"SHYAM TEXTILES , PALLIPALAYAM, ERODE",28000.0,https://mybillbook.in/i/127y02l,""
531,"",26-09-2023,"VIVEK CAP AGENCY , Chennai",12600.0,https://mybillbook.in/i/w4v862,""
532,"",26-09-2023,"BANKE BIHARI METAL WORKS ,Aligarh",65685.0,https://mybillbook.in/i/t3ifz9,""
533,"",26-09-2023,"RAMDEV TRADING COMPANY , AHMEDABAD",37310.0,https://mybillbook.in/i/136f3l6,"CASH-18200
BANK-19110"
534,"",27-09-2023,"BALAMURUGAN TEXTILES , Erode",17187.0,https://mybillbook.in/i/s2o6pf,""
535,"",28-09-2023,"BALAJI HOSIERY, Mysore",27615.0,https://mybillbook.in/i/12nl4h9,""
536,"",02-10-2023,"SHYAM TEXTILES , PALLIPALAYAM, ERODE",62250.0,https://mybillbook.in/i/z227xl,""
537,"",02-10-2023,"ASHOKAA. , Komarapalayam",12623.0,https://mybillbook.in/i/whyl94,""
538,"",02-10-2023,"JAIPUR TEXTILES , JAIPUR,",54270.0,https://mybillbook.in/i/xwjm6g,"CASH- 25920
BANK- 28350"
539,"",06-10-2023,"SHYAM TEXTILES , PALLIPALAYAM, ERODE",27900.0,https://mybillbook.in/i/s6y1n5,""
540,"",06-10-2023,"BALAMURUGAN TEXTILES , Erode",18000.0,https://mybillbook.in/i/ytfef3,""
541,"",07-10-2023,"RAMDEV TRADING COMPANY , AHMEDABAD",30216.0,https://mybillbook.in/i/wapdrl,"cash-23790
bank-6426"
542,"",07-10-2023,"BANKE BIHARI METAL WORKS ,Aligarh",44749.0,https://mybillbook.in/i/t8z3x7,""
543,"",13-10-2023,"NANAK TRADERS(KUNAL),  AHMEDABAD",38405.0,https://mybillbook.in/i/170sd2v,""
544,"",13-10-2023,"ASHOKAA. , Komarapalayam",15487.0,https://mybillbook.in/i/z72uns,""
545,"",13-10-2023,"K.L.M TEXTILES , Erode",15413.0,https://mybillbook.in/i/14iwpk5,"cash-7518
bank-7894"
546,"",13-10-2023,"HIRA MOTI MILLS , AHMEDABAD",36051.0,https://mybillbook.in/i/tzp1k3,""
547,"",14-10-2023,"ANUSRI TEX ,KOMARAPALAYAM",12375.0,https://mybillbook.in/i/13l6wxu,""
548,"",14-10-2023,"JAIPUR TEXTILES , JAIPUR,",24723.0,https://mybillbook.in/i/1257jll,"cash-11808
bank-12915"
549,"",14-10-2023,"SUMEET TEXILES , KARUR",16236.0,https://mybillbook.in/i/14l5nb5,"cash-7920
bank-8316"
550,"",14-10-2023,"VIVEK CAP AGENCY , Chennai",38400.0,https://mybillbook.in/i/11bafkt,""
551,"",19-10-2023,"VIVEK CAP AGENCY , Chennai",9272.0,https://mybillbook.in/i/vp6dmz,""
552,"",20-10-2023,"SHYAM TEXTILES , PALLIPALAYAM, ERODE",34250.0,https://mybillbook.in/i/16bktja,""
553,"",21-10-2023,"BANKE BIHARI METAL WORKS ,Aligarh",55247.0,https://mybillbook.in/i/upjdzs,""
554,"",25-10-2023,"EKTA FABRICS(KRISHNA) , AHMEDABAD",27340.0,https://mybillbook.in/i/14c25mo,"cash-13670
bank-14354"
555,"",26-10-2023,"GULSHAN KNITWEARS , LUDHIANA",61949.0,https://mybillbook.in/i/wojr2i,"CASH-30428
BANK-31521"
556,"",26-10-2023,"BANKE BIHARI METAL WORKS ,Aligarh",28815.0,https://mybillbook.in/i/uk73ho,""
557,"",26-10-2023,New narasingh hosiery,55350.0,https://mybillbook.in/i/wfol42,"CASH-27000
BANK-28350"
558,"",26-10-2023,New narasingh hosiery,65520.0,https://mybillbook.in/i/yl5dqv,"CASH-37800
BANK-27720"
559,"",26-10-2023,New narasingh hosiery,79725.0,https://mybillbook.in/i/w19aaq,"CASH-43500
BANK-36225"
560,"",26-10-2023,New narasingh hosiery,51839.0,https://mybillbook.in/i/vv0zyc,"CASH-21620
BANK-30219"
561,"",28-10-2023,"VIVEK CAP AGENCY , Chennai",44400.0,https://mybillbook.in/i/ze7ah2,""
562,"",30-10-2023,Parkar &co ,42212.0,https://mybillbook.in/i/tfkznd,""
563,"",31-10-2023,"GULSHAN KNITWEARS , LUDHIANA",39900.0,https://mybillbook.in/i/uw0foq,"cash-8400
bank-31500"
564,"",02-11-2023,"SHYAM TEXTILES , PALLIPALAYAM, ERODE",36975.0,https://mybillbook.in/i/12qkw6p,""
565,"",02-11-2023,"JAGDISH AGENCY , Chennai",2150.0,https://mybillbook.in/i/upxqvy,""
566,"",03-11-2023,"GULSHAN KNITWEARS , LUDHIANA",96704.0,https://mybillbook.in/i/xyawgh,"cash33701
bank-63003"
567,"",06-11-2023,"BANKE BIHARI METAL WORKS ,Aligarh",8601.0,https://mybillbook.in/i/yyxtg9,
568,"",06-11-2023,"SHYAM TEXTILES , PALLIPALAYAM, ERODE",27200.0,https://mybillbook.in/i/1598os8,
569,"",06-11-2023,JN Sodagar hosiery ,69495.0,https://mybillbook.in/i/vjytnm,
570,"",08-11-2023,"RAMDEV TRADING COMPANY , AHMEDABAD",28470.0,https://mybillbook.in/i/176n3e4,
571,"",09-11-2023,"SHYAM TEXTILES , PALLIPALAYAM, ERODE",28200.0,https://mybillbook.in/i/uiqr2e,""
572,"",16-11-2023,"SARASWATHI ENTERPRISES , SALEM",30000.0,https://mybillbook.in/i/10pna88,
573,"",17-11-2023,"VIVEK CAP AGENCY , Chennai",15000.0,https://mybillbook.in/i/vaiju9,
574,"",17-11-2023,"BALAJI CAP HOUSE, Chennai",14400.0,https://mybillbook.in/i/teo7kc,
575,"",20-11-2023,PUKRAJ BHIMRAJ,14400.0,https://mybillbook.in/i/x2d496,""
576,"",20-11-2023,"GULSHAN KNITWEARS , LUDHIANA",41162.0,https://mybillbook.in/i/11qwbum,"bank-31500
cash-9662"
577,"",21-11-2023,"SUBH LAKSHMI MARKETING , Chennai",2835.0,https://mybillbook.in/i/124su6u,""
578,"",21-11-2023,PUKRAJ BHIMRAJ,28800.0,https://mybillbook.in/i/x16av3,""
579,"",21-11-2023,SHIV KIDS WORLD,30400.0,https://mybillbook.in/i/1152f6g,""
580,"",22-11-2023,"BALAMURUGAN TEXTILES , Erode",20574.0,https://mybillbook.in/i/16jrwo4,""
581,"",22-11-2023,"VIVEK CAP AGENCY , Chennai",6900.0,https://mybillbook.in/i/12w9j7o,""
582,"",23-11-2023,"SHYAM TEXTILES , PALLIPALAYAM, ERODE",34250.0,https://mybillbook.in/i/18hy02r,""
583,"",24-11-2023,New narasingh hosiery,44370.0,https://mybillbook.in/i/vsamlr,"cash-19800
bank-24570"
584,"",25-11-2023,"SARASWATHI ENTERPRISES , SALEM",60000.0,https://mybillbook.in/i/12hr5f0,""
585,"",25-11-2023,"DEEPA TRADERS , Komarapalayam",6450.0,https://mybillbook.in/i/165zfop,""
586,"",27-11-2023,"VIVEK CAP AGENCY , Chennai",12570.0,https://mybillbook.in/i/wjmili,""
587,"",27-11-2023,"K.L.M TEXTILES , Erode",28000.0,https://mybillbook.in/i/swukaa,""
588,"",28-11-2023,PUKRAJ BHIMRAJ,14400.0,https://mybillbook.in/i/yzdfn7,""
589,"",29-11-2023,"SHYAM TEXTILES , PALLIPALAYAM, ERODE",21000.0,https://mybillbook.in/i/176vn0r,""
590,"",29-11-2023,"VIVEK CAP AGENCY , Chennai",6900.0,https://mybillbook.in/i/175nljg,""
591,"",30-11-2023,"DEEPA TRADERS , Komarapalayam",11400.0,https://mybillbook.in/i/10ym52k,""
592,"",30-11-2023,"SHYAM TEXTILES , PALLIPALAYAM, ERODE",24600.0,https://mybillbook.in/i/vouw0n,""
593,"",30-11-2023,"EKTA FABRICS(KRISHNA) , AHMEDABAD",29930.0,https://mybillbook.in/i/15codso,"CASH- 14600
BANK-15330"
594,"",30-11-2023,"BANKE BIHARI METAL WORKS ,Aligarh",59488.0,https://mybillbook.in/i/sg84jn,""
595,"",30-11-2023,"BANKE BIHARI METAL WORKS ,Aligarh",67851.0,https://mybillbook.in/i/117hzqx,""
596,"",01-12-2023,"DEEPA TRADERS , Komarapalayam",17720.0,https://mybillbook.in/i/1479oqk,""
597,"",02-12-2023,New narasingh hosiery,102908.0,https://mybillbook.in/i/16x8dks,"cash- 62154
bank- 40754"
598,"",08-12-2023,"SHYAM TEXTILES , PALLIPALAYAM, ERODE",22800.0,https://mybillbook.in/i/vuoz7u,""
599,"",08-12-2023,"SUBH LAKSHMI MARKETING , Chennai",3780.0,https://mybillbook.in/i/16j367g,""
600,"",08-12-2023,"SUBH LAKSHMI MARKETING , Chennai",13088.0,https://mybillbook.in/i/vkf4ro,""
601,"",08-12-2023,"VIVEK CAP AGENCY , Chennai",6200.0,https://mybillbook.in/i/10p6rtu,""
602,"",11-12-2023,"SHYAM TEXTILES , PALLIPALAYAM, ERODE",34250.0,https://mybillbook.in/i/zfg8bg,""
603,"",13-12-2023,"SHYAM TEXTILES , PALLIPALAYAM, ERODE",34250.0,https://mybillbook.in/i/s63up1,""
604,"",13-12-2023,"RAMDEV TRADING COMPANY , AHMEDABAD",47980.0,https://mybillbook.in/i/virzqm,"CASH- 37270
BANK-10710"
605,"",13-12-2023,KRISHNA TRADING COMPANY,26200.0,https://mybillbook.in/i/13yhrg9,""
606,"",13-12-2023,"RSC TEXTILES , SOLAPUR-",28243.0,https://mybillbook.in/i/17qwtr7,""
607,"",13-12-2023,"VIVEK CAP AGENCY , Chennai",50300.0,https://mybillbook.in/i/11dk5cx,""
608,"",13-12-2023,"VIVEK CAP AGENCY , Chennai",11376.0,https://mybillbook.in/i/13hte22,""
609,"",14-12-2023,"BANKE BIHARI METAL WORKS ,Aligarh",33286.0,https://mybillbook.in/i/12hjv74,""
610,"",18-12-2023,"SHYAM TEXTILES , PALLIPALAYAM, ERODE",28000.0,https://mybillbook.in/i/12cmcll,""
611,"",23-12-2023,"BANKE BIHARI METAL WORKS ,Aligarh",18969.0,https://mybillbook.in/i/146395a,""
612,"",23-12-2023,"VIVEK CAP AGENCY , Chennai",6900.0,https://mybillbook.in/i/1339toq,""
613,"",23-12-2023,"VIVEK CAP AGENCY , Chennai",14500.0,https://mybillbook.in/i/14n4dre,""
614,"",25-12-2023,"VIVEK CAP AGENCY , Chennai",14500.0,https://mybillbook.in/i/u9kp5w,""
615,"",25-12-2023,"SRI VARI TRADERS , KOMARAPALAYAM, ERODE",16800.0,https://mybillbook.in/i/17bztg7,""
616,"",25-12-2023,"SHYAM TEXTILES , PALLIPALAYAM, ERODE",34250.0,https://mybillbook.in/i/u8cah2,""
617,"",26-12-2023,"EKTA FABRICS(KRISHNA) , AHMEDABAD",28703.0,https://mybillbook.in/i/t7k0wr,"cash-14001
bank-14702"
618,"",26-12-2023,"RAMDEV TRADING COMPANY , AHMEDABAD",44970.0,https://mybillbook.in/i/152af1r,"cash-31740
bank-13230"
619,"",27-12-2023,KRISHNA TRADING COMPANY,12900.0,https://mybillbook.in/i/121xl5o,""
620,"",28-12-2023,"SUMEET TEXILES , KARUR",16236.0,https://mybillbook.in/i/s6rrd5,"cash-7920
bank-8316"
621,"",28-12-2023,"BANKE BIHARI METAL WORKS ,Aligarh",33813.0,https://mybillbook.in/i/12o1w42,""
622,"",28-12-2023,"RAMDEV TRADING COMPANY , AHMEDABAD",83045.0,https://mybillbook.in/i/ti1ksx,"cash-69080
bank-13965"
623,"",28-12-2023,PUKRAJ BHIMRAJ,43200.0,https://mybillbook.in/i/1246lir,""
624,"",29-12-2023,"SHYAM TEXTILES , PALLIPALAYAM, ERODE",27650.0,https://mybillbook.in/i/vfgj6h,""
625,"",30-12-2023,"VIVEK CAP AGENCY , Chennai",9300.0,https://mybillbook.in/i/13zfio6,""
626,"",03-01-2024,New narasingh hosiery,67590.0,https://mybillbook.in/i/18b3zym,"cash- 35460
bank-32130"
627,"",03-01-2024,"SUBH LAKSHMI MARKETING , Chennai",16660.0,https://mybillbook.in/i/16xyz8v,""
628,"",03-01-2024,"NANAK TRADERS(KUNAL),  AHMEDABAD",29383.0,https://mybillbook.in/i/z5a8ud,""
629,"",03-01-2024,"SHA HANJARIMAL DEVICHAND , Perambalur",8400.0,https://mybillbook.in/i/x3otlg,""
630,"",09-01-2024,"ASHOKAA. , Komarapalayam",16200.0,https://mybillbook.in/i/14qpc0m,""
631,"",09-01-2024,"RAMDEV TRADING COMPANY , AHMEDABAD",18640.0,https://mybillbook.in/i/13a5zdv,"cash-13600
bank-5040"
632,"",09-01-2024,"SHYAM TEXTILES , PALLIPALAYAM, ERODE",61100.0,https://mybillbook.in/i/xszjsv,""
633,"",10-01-2024,"RAMDEV TRADING COMPANY , AHMEDABAD",26670.0,https://mybillbook.in/i/10pmgnt,"CASH- 21000
BANK-5670"
634,"",10-01-2024,"ASHOKAA. , Komarapalayam",16524.0,https://mybillbook.in/i/u3f15z,""
635,"",13-01-2024,"SHYAM TEXTILES , PALLIPALAYAM, ERODE",33275.0,https://mybillbook.in/i/11y6301,""
636,"",13-01-2024,"VIVEK CAP AGENCY , Chennai",3648.0,https://mybillbook.in/i/12ml5hk,""
637,"",19-01-2024,HUSSAIN BAI,11643.0,https://mybillbook.in/i/14onyhj,
