S K T
Phone No: 9150366098


Rate List
Dated: 2019-04-25-2025-11-21


Name,Code,MRP,Price
ROYAL,ROYAL,0.0,85.0
ROYAL KING,ROYAK24,0.0,125.0
RUBY ,RUBY,0.0,93.75
R WHITE,RWHIT,0.0,85.0
S BLACK,SB,0.0,80.0
SCARF 555 NO DORA,SCARF555 PLAIN,0.0,225.0
SCARF666 DORA,"",0.0,300.0
SCARF666 PLAIN,SCARF666PLAIN,0.0,310.0
SCARF JALI DORA 555 NO,SCARF00,0.0,356.0
SHAKIRA,SHAK,0.0,95.0
SIGNATURE,"",0.0,100.0
SOFEX,SOFEX,0.0,130.0
SONY2020,SONY20220,0.0,140.0
SONY 22*22,SONY,0.0,140.0
Sony DC1818,Sony DC1818,0.0,175.0
Sony DC2020,Sony DC2020,0.0,220.0
SOPHIA,"",0.0,85.0
S RED,SR,0.0,80.0
SS BLACK,SSB,0.0,80.0
SS RED,SSR,0.0,80.0
SSS BLACK,"",0.0,80.0
SSS RED,"",0.0,80.0
STAR 17*17,STAR,0.0,86.0
STAR MIX,STARMIX,0.0,65.0
STYLE,STYL,0.0,97.0
SURYA1818,"",0.0,120.0
SURYA 22*22,JIO,0.0,150.0
SYERAA 30MM,SYERAA30,0.0,20.0
SYERAA 40MM,40MM,0.0,34.0
SYERAA 50MM,SYERAA 50MM,0.0,48.0
SYERAA 65MM,"",0.0,78.0
TAJ,TAJ,0.0,78.0
TANU,"",0.0,85.0
TEA BAG,"",0.0,6.0
THIN BLACK,THINB,0.0,80.0
THIN RED,THINR,0.0,80.0
TOWEL1218,1218,0.0,132.0
TOWEL 1218 PLAIN,"",0.0,162.0
TOWEL1421,1421,0.0,180.0
TOWEL 3060,"",0.0,65.0
TRANSPORTATION AND PACKAGING ,"",0.0,4000.0
TRIPAL BABY CAP,BABY CAP,0.0,252.0
TULIP,TULIP,0.0,85.0
UMBRELLA,"",0.0,142.0
UTSAV Q11075,"",0.0,220.0
UTSAV Q13000,"",0.0,242.0
UTSAV Q9050,"",0.0,190.0
UTSAV Q9075,"",0.0,210.0
UTSAV RQ350,"",0.0,188.0
UTSAV RQ 425,"",0.0,195.0
UTSAV  RQ 700,"",0.0,185.0
UTSAV RQ 750,"",0.0,192.0
VELVET,VELV,0.0,100.0
VENUS,VENU,0.0,150.0
VENUS 25MM,VEN25,0.0,138.0
VENUS 35MM,VEN35,0.0,242.0
VENUS 35MM [2 KEYS],VEN352K,0.0,232.0
VENUS 45MM,VEN45,0.0,156.0
VENUS 45MM [2 KEYS],VEN452K,0.0,147.0
VENUS 45MM LS,VEN45LS,0.0,146.85
VENUS 50MM,VEN50,0.0,189.0
VENUS 50MM [2KEYS],VEN502,0.0,177.0
VENUS 50MM LS,VEN50LS,0.0,186.0
VENUS 60MM,VEN60,0.0,297.0
VENUS 60MM [2 KEYS],VEN602K,0.0,282.0
VENUS 70MM,VEN70,0.0,572.0
Venus bag ,"",0.0,0.0
VICTOR 65MM,VICTOR65MM,0.0,175.0
VIJAY,VIJA,0.0,120.0
VILLAN1919,"",0.0,190.0
VILLIAN 1717,VILL,0.0,140.0
VIP WHITE 1818,VIP WHITE 1818,0.0,196.0
VIP WHITE 2222,"",0.0,270.0
WINNER,WINN,0.0,92.0
WINNER 30MM,WINNER 30MM,0.0,23.0
WINNER 40mm,WIN40,0.0,350.0
WINNER 40MM 4 KEYS,"",0.0,370.0
WINNER40MM L.S,"",0.0,368.0
WINNER 50 MM,W50MM,0.0,250.0
WINNER 50MM 10 keys,"",0.0,77.0
WINNER 50MM 4 KEYS,WINNER 50MM 4 K,0.0,58.0
Winner 50MM 6 keys ,Win4k,0.0,67.0
WINNER 50MM 8 Keys,WINNER 50MM 8K,0.0,70.0
WINNER 50MM L.S,WIN50LS,0.0,265.0
WINNER 65 MM,W65MM,0.0,400.0
WINNER 65MM 10 keys,WINNER 65MM 10K,0.0,107.0
Winner 65MM 4Keys,WIN654K,0.0,95.0
WINNER 65MM 6 Keys,WINNER 65MM 6K,0.0,100.0
winner 65mm 8 keys,"",0.0,110.0
WINNER 65MM LS,WINNER 65MM LS,0.0,420.0
Winner 75MM,WIN75,0.0,170.0
WOOLEN PATTI,PATTI02,0.0,132.0
YELLOW,YELLOW,0.0,80.0
ZARA,ZARA,0.0,46.0
ZARA[B],ZARB,0.0,65.0
zebra,"",0.0,60.0
