S K T
Phone No: 9150366098


Item Summary Report
Dated: 2023-04-01-2024-03-31
Total Sales Quantity: 217594.0
Total Purchase Quantity: 211635.0


Item Name,Unit,Sales Quantity,Purchase Quantity
ROSE LC,DOZ,256.0,300.0
BLESSING,PCS,252.0,480.0
C BLACK SK,PCS,250.0,429.0
CHECK POLO CAP,PCS,246.0,300.0
RUBY ,DOZ,241.0,450.0
VENUS 50MM [2KEYS],BOX,238.0,160.0
POLO ROUND PATTI 1NO.,DOZ,238.0,200.0
150,PKT,233.0,300.0
LOTUS 2424,DOZ,232.0,225.0
IPL 60MM,BOX,224.0,271.0
FOMA CAP BIG COMP EMB,DOZ,223.0,290.0
S RED,PCS,222.0,410.0
MONKEY CAP LOVE S,PCS,218.0,132.0
WINNER 50 MM,BOX,213.0,220.0
IPL 35MM,BOX,198.0,246.0
CARTOON LC,PAC,197.0,0.0
LOTUS,PCS,195.0,250.0
no 2,PCS,192.0,288.0
no 7,PCS,192.0,96.0
POLO EMB PATTI 2,PCS,188.0,200.0
VENUS,DOZ,187.0,225.0
SCARF666 DORA,PCS,186.0,180.0
51 no cap,PCS,180.0,180.0
VENUS 25MM,PCS,176.0,203.0
NADA 300GMS,PAC,175.0,350.0
WINNER 40mm,PCS,171.0,198.0
S BLACK,PCS,170.0,250.0
no 4 ,PCS,168.0,252.0
SCARF 555 NO DORA,PCS,168.0,60.0
KT16*16,PCS,164.0,430.0
PC MUDICHI,DOZ,163.0,100.0
100,PKT,162.0,300.0
SHAKIRA,DOZ,158.0,200.0
no 9,PCS,156.0,360.0
VENUS 35MM [2 KEYS],BOX,145.0,148.0
VENUS 45MM [2 KEYS],BOX,139.0,120.0
1818WB,PCS,136.0,250.0
101 SOFEX,PCS,135.0,150.0
VELVET,DOZ,131.0,175.0
no 11,PCS,120.0,120.0
PETALS,PCS,120.0,120.0
SIGNATURE,PCS,119.0,480.0
zebra,PCS,117.0,366.0
ROLEX SOFEX,PCS,116.0,140.0
POLKADOT,PCS,115.0,240.0
55 SCARF,PCS,114.0,140.0
WINNER 50MM L.S,BOX,109.0,133.0
APSARA,PCS,103.0,50.0
SYERAA 30MM,PCS,100.0,200.0
JASMINE,PCS,100.0,0.0
PANDA,PCS,95.0,480.0
JONNY SOFEX,PCS,95.0,100.0
GOLD,DOZ,93.0,250.0
WINNER,DOZ,88.0,175.0
IPL 45 MM,PCS,87.0,28.0
no 1,PCS,84.0,360.0
WINNER 65 MM,BOX,81.0,44.0
SONY2020,PCS,78.0,75.0
Five COLOURS,PCS,76.0,100.0
BABY SUIT 00,PCS,76.0,80.0
Winner 50MM 6 keys ,PCS,75.0,150.0
WOOLEN PATTI,DOZ,75.0,200.0
no 8,PCS,72.0,360.0
SYERAA 50MM,PCS,70.0,100.0
HAMMER,PCS,68.0,100.0
POLO CAP COMP BABY 570 NO,DOZ,68.0,220.0
VICTOR 65MM,PCS,66.0,50.0
Ladies 3pcs box,PCS,66.0,0.0
baby soft cap,PCS,60.0,120.0
44 scarf ,PCS,60.0,80.0
6000 PS,DOZ,59.0,175.0
JIGNA ROPE,PAC,58.0,67.0
IPL 25MM [2KEYS],BOX,56.0,0.0
ACE 1 Pcs Box,PCS,55.0,0.0
VENUS 60MM [2 KEYS],BOX,54.0,44.0
COUNTRY,PCS,51.0,50.0
DART 67MM,PCS,51.0,10.0
FLOWER LC,PAC,50.0,0.0
ELEPHANT ,PCS,49.0,50.0
VENUS 70MM,BOX,49.0,37.0
no 6,PCS,48.0,360.0
704 cap,PCS,48.0,48.0
WINNER 65MM 6 Keys,PCS,47.0,100.0
WINNER40MM L.S,PCS,46.0,73.0
WINNER 65MM LS,BOX,44.0,57.0
HEENA,DOZ,42.0,200.0
Winner 65MM 4Keys,PCS,40.0,100.0
WINNER 50MM 4 KEYS,PCS,40.0,150.0
46 scarf ,PCS,40.0,80.0
NAVYA CARTOON,PAC,37.0,0.0
VILLAN1919,PCS,36.0,50.0
no 3,PCS,36.0,288.0
BABY HEAVY,PCS,36.0,72.0
VILLIAN 1717,DOZ,35.0,50.0
SONY 22*22,DOZ,35.0,50.0
WINNER 50MM 8 Keys,PCS,32.0,100.0
SURYA 22*22,DOZ,32.0,37.0
JOY SOFEX,PCS,31.0,200.0
TRIPAL BABY CAP,PCS,31.0,40.0
SYERAA 65MM,PCS,30.0,285.0
NAVYA BDC,PAC,30.0,0.0
YELLOW,PCS,29.0,103.0
BULLET67MM,PCS,26.0,0.0
850 DC,DOZ,25.0,0.0
LADDU SCARF,PCS,24.0,0.0
Winner 75MM,PCS,20.0,20.0
Sony DC1818,PCS,16.0,50.0
OSCAR 60MM,PCS,15.0,100.0
Sony DC2020,PCS,13.0,50.0
VENUS 45MM LS,BOX,13.0,60.0
POWDER PUFF [SADA],DOZ,12.0,0.0
POWDER PUFF [VELVET SADA],DOZ,12.0,0.0
Venus bag ,PCS,12.0,0.0
KAJAL LC,DOZ,11.0,150.0
BABY BLANKET,PCS,11.0,15.0
EMBOSS,PAC,10.0,357.0
LEO,DOZ,8.0,0.0
COLORS,DOZ,7.0,69.0
JIO19,PCS,6.0,25.0
BABY SUIT 18,PCS,6.0,80.0
WINNER 50MM 10 keys,PCS,5.0,70.0
SCARF666 PLAIN,PCS,2.0,0.0
NAVYA ROLEX MIX,PAC,1.0,0.0
WINNER 65MM 10 keys,PCS,1.0,0.0
65MM ACTIVE,PCS,0.0,225.0
SYERAA 40MM,PCS,0.0,9.0
BOOMER,PCS,0.0,360.0
Napkin1218,PCS,0.0,180.0
2222WB,PCS,0.0,75.0
winner 65mm 8 keys,PCS,0.0,50.0
TOWEL 3060,PCS,0.0,12.0
